uid,name,fans
488836173,yoyo鹿鸣_Lumi,1693000
212630840,卡琳娜和揉西,1966000
251014432,云知笑,569000
555720779,宸辰and爷爷,69000
180926019,幻雪HX,4620
2146925112,乱小世,451000
24979808,萌德-,155000
474853499,李如儒也是李蠕蠕,3331000
45024129,vamoko,1079000
3546860255971524,哈利尼斯塔,9679000
5970160,小潮院长,15385000
14576879,里昂聊游戏,2769000
431073645,你的影月月,19899000
3913194,高斯Goh,5518000
551931509,小歪很拽,2034000
546195,老番茄,20582000
1042277203,星雨Starrain,1590000
15002163,拧不动啊真拧不动,500000
53228897,游戏解说艾登,707000
1773346,莴苣某人,692000
15634833,鲤鱼Ace,30370000
297344797,朵朵花林,1950000
642389251,黑神话,4381000
1837617,薄海纸鱼,470000
289475254,碧月狐,3803000
3546921513782109,我是七奇,2000000
13354765,徐大虾咯,1586000
31438993,小桑菜奈,853000
1968595,鹦鹉梨,3056000
207261582,晓观队长,547000
1577804,某幻君,7088000
168598,逍遥散人,1652000
107817408,陈景烁Studio,150000
