排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
1,775629314,江泽民同志在上海逝世 享年96岁,5234696,央视新闻,456664753,24218604,0,441871,58409,45178,0,100,中国,500280.0,0.0956,0.0112,0.2161,0.0086,1.0,0.2237,0.2076,0.0,0.3203,31976.44,2022-11-30 18:43:57,0.4795
2,1650001730,哇塞！【排骨年糕新吃法】年夜饭必吃！,5329632,龙帅食堂,590201208,2490223,725408,32519,283758,47722,837,2238,"繁花美食,龙年美食,汪小姐美食,排骨年糕神仙吃法,喼汁美食,上海菜,排骨年糕,辣酱油,年夜饭菜谱,天南海北家乡味",0.436,0.196,0.0532,2.1402,0.009,0.0,0.4635,1.0,0.0002,0.3323,21681.3,2024-02-02 17:52:23,0.3491
3,860680524,关于我连夜去上海找甲方要92万片卫生巾这件事,8462941,侯翠翠,1458143131,1490010,1324392,2131803,84020,16548,9008,11054,"我生命里的一分钟,日常,生活记录,鼓励高,高洁丝深夜专车,高洁丝,女生不简单,我的普通生活不普通",1.6731,0.4207,0.0099,5.6798,0.002,0.0,1.0,0.1844,0.0004,0.0725,32025.06,2022-11-28 18:05:49,0.2942
4,61898054,【某幻】Back to dream.,12530535,某幻君,1577804,7088000,771609,713233,410423,85977,49231,20816,"某幻,上海zoo,无处不音乐,rap,中国新说唱,说唱,饶舌,流行,MV,原创歌曲,动感视频",1.4563,0.1568,0.0328,1.7679,0.0069,0.0,0.37,0.6142,0.0001,0.2546,61160.64,2019-08-02 18:31:01,0.2408
5,84599855,【艾叔】上海陆家嘴，中国企业家的豪宅长什么样,9086817,小艾大叔,470156882,2570153,546011,464027,152850,166667,99086,7591,"豪宅,趣味人文科普,bilibili新星计划,家居,室内设计,陆家嘴,摄影,VLOG,装修,房地产",1.1298,0.1397,0.0168,3.5355,0.0183,0.0,0.3291,0.3142,0.0003,0.6807,56991.25,2020-01-23 11:55:02,0.2132
6,244898188,【罗翔】对上海名媛指责过后，我发现错误在我,11655003,罗翔说刑法,517327498,32158164,999013,538447,246566,110367,53377,30567,"罗翔,知识分享官,上海名媛,自省,批判,谴责,道德,刑法",0.7858,0.1603,0.0212,0.3624,0.0095,0.0,0.3781,0.3958,0.0,0.3514,50583.14,2020-10-16 12:00:28,0.2088
7,19027609,【高等数学】上海交通大学-乐经良,7381380,小考神丨不挂科,97668916,371135,120343,47799,243540,75686,153658,5713,"高等数学,高数,学霸,工科数学,考研,大学数学,考研数学,大学",2.4209,0.0774,0.033,19.8887,0.0103,0.0,0.1802,0.6187,0.0015,0.3805,74278.57,2018-02-02 04:35:40,0.207
8,1606445043,年度爽文！被打后手把手教你拿到人生第一桶金！【被打后续 逐帧分析】,9810555,肖恩看,32426113,676083,781628,311637,181545,130125,76230,24007,"犯罪,上海,知识,生活记录,高能,社会,真实,案件,我们的夏游记",0.631,0.1402,0.0185,14.5109,0.0133,0.0,0.3301,0.3459,0.0011,0.4922,17103.15,2024-08-11 12:00:00,0.201
9,95762636,【艾叔】上海黄浦江畔，浦西第一高豪宅能看到怎样的风景,6808454,小艾大叔,470156882,2570153,346854,261346,86720,150811,48419,6791,"豪宅,vlog复工日记,室内设计,家居,摄影,房地产,外滩,装修,黄浦江,科普",1.0035,0.1102,0.0127,2.649,0.0222,0.0,0.2585,0.2373,0.0002,0.822,55785.15,2020-03-13 18:00:42,0.1943
10,114883379137635,上海规则怪谈不让你喝，你喝不喝？,5473808,快乐阿依,429765143,552861,485951,45840,73834,111270,2454,15134,"上海,上海规则怪谈,东方明珠,刘晓燕,蜜雪冰城,鬼畜星探企划,鬼畜星探企划第二十二期,东方明珠防御塔",0.2463,0.1139,0.0135,9.9009,0.0203,0.0,0.2673,0.2515,0.0007,0.7544,8871.88,2025-07-20 11:17:13,0.1926
