排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116951724594222,大狗嚼  这一口会很疯狂！,9796711,颖杏遗传being,1661480563,128918,75.99,92806.31,105.6,0.1043,9520,"被生活磨平了棱角,大狗叫,毛茸茸的夏天",0.7537,1.0,0.2404,0.5,1.0,,1,2026-07-20 18:02:37,0.6992
2,116968048893675,⚡一战成名⚡我把风扇立在了一支笔上,2799149,自律小爽子,3546841593416381,34835,80.35,77079.69,36.3,0.1687,8236,"生活记录,手工,高能,生活,原创,日常,测评,风扇,记录,创作灵感",0.626,1.0,0.3889,0.75,0.2799,,1,2026-07-23 15:17:32,0.6561
3,116971253274492,《下一个是谁》第七季（2）,1524623,自来卷三木,474702359,3086012,0.49,98401.57,15.5,0.4338,13081,"综艺,游戏,竞技,生活,搞笑,UP主自制综艺,up主综艺,下一个是谁,挑战,影视飓风",0.7991,0.0447,1.0,1.0,0.1488,,1,2026-07-24 12:00:00,0.6158
4,116972763356532,《绝区零》蕾米埃尔角色展示 | 恰如往昔,1907676,绝区零,1636034895,7926505,0.24,123135.45,15.5,0.1388,11968,"手游,PC,ARPG,绝区零挽昼,绝区零3.1,绝区零蕾米埃尔,漫长的告别,米哈游,绝区零",1.0,0.0218,0.32,1.0,0.1882,,1,2026-07-24 12:00:00,0.5383
5,116963502197593,老同学婚礼让我穿最贵的来？,1766178,三个大比兜啊,496116540,112755,15.66,43614.12,40.5,0.0775,2634,"婚礼,齐天大圣,cos,黑神话悟空,婚礼现场,同学,灵魂COS大赏",0.3542,1.0,0.1787,0.75,0.1736,,1,2026-07-23 11:00:00,0.5219
6,116963619635236,⚡赤石科技！⚡牢大复活机,1286390,栋子子子,395971149,10599,121.37,23327.64,55.1,0.1497,1076,"红石,原创,沙盒游戏",0.1894,1.0,0.3451,0.75,0.1242,,1,2026-07-22 20:27:40,0.5008
7,116961522551203,🐔回 归 鸡 本 功⚡,2188241,浪迹天涯的小光,140415743,156979,13.94,34256.98,63.9,0.0632,3155,"鬼畜,蔡徐坤,宗主,小黑子,第二招,鸡你太美,鬼畜星探企划",0.2782,1.0,0.1457,0.75,0.217,,1,2026-07-22 11:37:00,0.4968
8,116951137388659,树恨你,8169933,鲤鱼Ace,15634833,30370000,0.27,75724.85,107.9,0.3123,145224,"搞笑,魔性,trees hate you,树恨你,树讨厌你,鲤鱼,鲤鱼Ace",0.615,0.0243,0.7199,0.5,0.8326,,1,2026-07-20 15:36:08,0.4928
9,116968250150984,指鸡为牛、移花接木：营销号看图说话有多离谱？,3837816,中国食品报融媒体,439478093,4467285,0.86,118403.4,32.4,0.0581,2781,"科普,鉴定网络热门视频,辟谣,食品安全,香肠",0.9616,0.0777,0.1339,0.75,0.3868,,1,2026-07-23 19:05:00,0.4859
10,116969558769868,大学10大谣言,492865,子阳老学长,1368704923,31850,15.47,16489.6,29.9,0.1614,1182,"大学,谣言,大学生",0.1339,1.0,0.3721,0.75,0.0426,,1,2026-07-23 21:42:58,0.4813
11,116967847501312,连续21天十点睡六点起，我真的会变健康吗？,3771461,亿点点不一样,407054668,6407429,0.59,109335.32,34.5,0.0708,8603,"冷知识,4K,科普,知识,健康,睡眠,失眠,医学,健康新知计划",0.8879,0.0532,0.1632,0.75,0.38,,1,2026-07-23 17:00:00,0.4628
12,116951489710626,🐔好 坤 不 挑 曲⚡,3013345,浪迹天涯的小光,140415743,156979,19.2,28284.65,106.5,0.0824,4642,"鬼畜,蔡徐坤,宗主,小黑子,鸡你太美,鬼畜星探企划",0.2297,1.0,0.1899,0.5,0.302,,1,2026-07-20 17:04:11,0.4621
13,116972964611820,大家猜猜我是谁,1485930,田一名sir,477676711,2483276,0.6,96199.18,15.4,0.1053,16076,"可爱,小剧场,音乐小剧场",0.7812,0.0541,0.2427,1.0,0.1448,,1,2026-07-24 12:09:36,0.4609
14,116963971958456,成吉思鸡200卢比买一送一，我只要送的那份,3281353,印度老吃家,1582757648,599329,5.48,61384.7,53.5,0.0844,2867,"街头小吃,印度,印度美食,美食制作,街头美食,舌尖真探事务所,印度老吃家,成吉思鸡,阿穆尔奶油,探店",0.4985,0.4951,0.1946,0.75,0.3295,,1,2026-07-22 22:02:13,0.4577
15,116974071908168,接着奏乐接着舞！Papi酱《生气了》KPOP版,79023,吉事堡,1447736,9084,8.7,10543.04,7.5,0.1342,510,"女团,韩国女团,音乐,生气了,回归预告,papi酱,K-Pop,AI音乐,AI翻唱,AI音乐征集大赛",0.0856,0.7867,0.3094,1.0,0.0,,1,2026-07-24 20:00:00,0.4342
