排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
1,116971253274492,《下一个是谁》第七季（2）,1524623,自来卷三木,474702359,3086012,214602,273058,86673,9469,73952,13081,"综艺,游戏,竞技,生活,搞笑,UP主自制综艺,up主综艺,下一个是谁,挑战,影视飓风",1.6763,0.4338,0.0568,0.494,0.0062,1.0,1.0,0.8625,0.0039,0.18,15.49,2026-07-24 12:00:00,0.7909
2,116952160863790,极寒末日96分钟无删减合集,1452195,华萧AIGC,3706997046249908,12118,44015,27536,43400,11442,14597,2645,"末日生存,末日,极寒末日,末日安全屋,末世,合集,一口气看完",1.6116,0.091,0.0299,119.8378,0.0079,0.9594,0.1564,0.4299,0.9874,0.2293,103.55,2026-07-20 19:56:37,0.5826
3,116963619635236,⚡赤石科技！⚡牢大复活机,1286390,栋子子子,395971149,10599,102209,4939,84159,10823,175,1076,"红石,原创,沙盒游戏",0.8717,0.1497,0.0654,121.369,0.0084,0.4947,0.3008,1.0,1.0,0.2451,55.14,2026-07-22 20:27:40,0.5729
4,116972847106316,袜学导论：从脚踝到大腿，袜子如何成就二次元的顶级暗示！【泛式/次元论战】,1172184,泛式,63231,6686203,125453,85288,48225,23674,9183,8561,"科普,搞笑,路人女主的养成方法,新番,泛式,杂谈,吐槽,过膝袜,鬼灭之刃,bilibili次元论战",1.0642,0.2361,0.0411,0.1753,0.0202,0.6156,0.5134,0.6105,0.0012,0.5933,16.13,2026-07-24 11:38:15,0.5254
5,116968652867214,《败犬共鸣者太多了！》,494556,汐汐不想睡大街,30898527,801413,93187,38219,24901,9038,629,1790,"搞笑,动画短片,手书,今汐,鸣潮创作激励计划,珂莱塔,爱弥斯,秧秧·玄翎",0.6773,0.3209,0.0504,0.6171,0.0183,0.3726,0.7223,0.7582,0.0049,0.5365,33.67,2026-07-23 17:56:20,0.5168
6,116951137388659,树恨你,8169933,鲤鱼Ace,15634833,30370000,976418,626594,317970,70165,485415,145224,"搞笑,魔性,trees hate you,树恨你,树讨厌你,鲤鱼,鲤鱼Ace",0.9674,0.3123,0.0389,0.269,0.0086,0.5548,0.7011,0.5748,0.002,0.2503,107.89,2026-07-20 15:36:08,0.5096
7,116973216276213,Verity 官方配音演员回答网友最想知道的问题,298928,JustWhispy,3707035986168159,216984,49103,13591,17598,766,6796,3055,"学习,问答,游戏,我的世界,配音,Verity,互联网",0.6352,0.3016,0.0589,1.3776,0.0026,0.3461,0.6746,0.8949,0.0111,0.0723,14.37,2026-07-24 13:14:18,0.4771
8,116972947775120,【巫师】一字断魂刀，绞杀国家队，中国第一游资徐翔的资本博弈,148639,巫师财经,472747194,4307876,8477,3880,4768,2088,684,668,财经,1.0202,0.1243,0.0321,0.0345,0.014,0.5879,0.2383,0.4651,0.0001,0.4116,9.61,2026-07-24 18:00:00,0.3995
9,116974122174388,“弦起敦煌，壁画再世！”【鸿音】,143961,紫颜-小仙紫,35579222,1872103,10292,2946,6364,477,171,315,"中国舞,中国风,4K,敦煌,古典舞,鸿音,紫颜,长视频舞蹈匠心计划",0.9046,0.1395,0.0442,0.0769,0.0033,0.5153,0.2758,0.6597,0.0004,0.0944,10.47,2026-07-24 17:07:59,0.3907
10,116974860374045,直哉挑衅佐助  十尾空降涩谷,163897,牙牙的包裹,3493279194679455,1297991,20388,10831,4632,1470,778,1730,"火影忍者,二次元,动漫,鸣人,佐助,咒术回战",0.7584,0.234,0.0283,0.1263,0.009,0.4236,0.5084,0.4039,0.0008,0.2615,7.31,2026-07-24 20:10:44,0.3824
