排名,av_id,标题,播放量,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116254429944548,走过路过，不要错过！我们的品质，普普通通，我们的价格，没有极限，欢迎来到——富人直播间！（纯属虚构，如有冒犯，先道歉🙇🏻‍♀️,10930532,1532165,9321262,1.17,3608.76,3028.9,0.1346,34213,0.9225,0.0001,0.7469,0.0,1.0,,1,2026-03-20 18:00:00,0.5262
2,116615777620324,一天花掉当地一个月工资！我在破产国家当富豪，混进印度富人圈！,5935949,3546666542041956,467105,12.71,3911.95,1517.4,0.0213,2350,1.0,0.0009,0.1182,0.1667,0.4719,,1,2026-05-22 17:30:00,0.3961
3,116606952872706,富人：戒了烟我不习惯⚡️没有你我怎么办😭,2916132,3546696948648553,6064,480.89,1866.7,1562.2,0.0869,13633,0.4772,0.0336,0.4822,0.1667,0.1526,,1,2026-05-20 20:42:19,0.2883
4,48078302,看着是贫民窟，上海最有钱的富人区,3550651,242088772,248,14317.14,55.4,64086.1,0.0073,1431,0.0142,1.0,0.0405,0.0,0.2197,,1,2019-04-02 16:46:55,0.2843
5,116735768401301,被吹捧的西方教育公平，只存在于富人的世界里,2909201,2066911559,581682,5.0,2869.33,1013.9,0.012,356,0.7335,0.0003,0.0666,0.1667,0.1518,,1,2026-06-12 17:00:00,0.2736
6,116651630597225,博士要是没了，那就是真的没了！,1698859,405845641,678578,2.5,1237.57,1372.7,0.1229,1584,0.3164,0.0002,0.682,0.1667,0.0239,,1,2026-05-28 18:09:02,0.2587
7,116640792515913,富人：多托雷！没有你我怎么活啊！？,1978966,57847089,253801,7.8,1394.89,1418.7,0.1029,2060,0.3566,0.0005,0.571,0.1667,0.0535,,1,2026-05-26 20:09:42,0.2517
8,116604738275108,戒了烟我不习惯！✋😭🤚,1628437,7086918,30231,53.87,1036.19,1571.6,0.1077,3940,0.2649,0.0038,0.5977,0.1667,0.0164,,1,2026-05-20 11:19:32,0.2266
9,115609983521374,审美和美商是Top Priority | 为什么麦克阿瑟混的最好｜强者在迁徙 弱者不动｜契约精神带来繁荣减少内耗｜美女必然财富自由｜让你自己成为做局者,1521925,27692851,160481,9.48,262.98,5787.3,0.1802,3342,0.0672,0.0007,1.0,0.0,0.0052,,1,2025-11-25 19:47:41,0.2208
10,115898400641389,一街之隔，贫民窟VS顶级财阀！韩国贫富差距有多大？,8097761,389400079,1025629,7.9,1783.3,4540.9,0.0123,3262,0.4559,0.0006,0.0683,0.0,0.7005,,1,2026-01-16 18:00:00,0.2206
11,851292696,全程干货！我们如何才能赚很多很多钱？,3723416,79577853,4221146,0.88,95.18,39121.2,0.1636,6541,0.0243,0.0001,0.9079,0.0,0.2379,,1,2022-02-05 21:38:22,0.2127
12,294786792,韩国富人到底生活怎么样？真如韩剧里面演的那么夸张吗？,1588018,301799532,154,10311.81,39.31,40392.3,0.0033,82,0.01,0.7202,0.0183,0.0,0.0121,,1,2021-12-14 22:47:02,0.188
13,377419485,消失的普通人物：中国电视剧现在只认同富人？,3603819,490494088,1609326,2.24,83.28,43276.1,0.13,20779,0.0213,0.0002,0.7214,0.0,0.2253,,1,2021-08-16 18:48:29,0.1732
14,114816907875814,网友都说它是富人的游戏。所有人都在演戏，但这两个少年却亲手把剧本撕碎。,8091468,3546379836197580,214616,37.7,888.5,9106.9,0.0291,63,0.2271,0.0026,0.1615,0.0,0.6998,,1,2025-07-10 12:00:00,0.1711
15,116350949261468,【极乐空间】未来世界，富人上太空享乐，贫民在地球苟活！,3824573,304815404,566239,6.75,1446.03,2644.9,0.0224,161,0.3696,0.0005,0.1243,0.0,0.2486,,1,2026-04-05 18:00:00,0.1607
16,848326648,被富养vs穷养长大的女生，后来怎么样了？ | 真富人如何培养孩子｜如何走出自卑迷茫和原生家庭创伤,1850732,16385920,1893865,0.98,43.93,42124.9,0.1255,5105,0.0112,0.0001,0.6964,0.0,0.0399,,1,2021-10-03 18:00:03,0.1467
