排名,av_id,标题,当前值,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),评论数,时间跨度(小时),最早评论时间,总增长%,日均增长%,增量均值%,数据点数量,发布时间,状态,综合评分
1,113170257612964,带着华为 Mate XT 非凡大师出门是种什么体验（请不要叫我测评君出品）,24841580,18937162,0,0,1540.45,3,16126.2,2024-09-20 22:14:49.000,,,,1,2024-09-20 22:14:49,首次采集，仅显示当前值,8694553.1951
2,116278052260766,威力不亚于原子弹,24819951,226231535,0,0,8538.15,19,2906.95,2026-03-25 17:30:00.000,,,,1,2026-03-25 17:30:00,首次采集，仅显示当前值,8686983.25
3,1556326901,我敢打赌，99%的人没有用过这些手机！,23917013,3546640728197545,0,0,1397.42,20,17115.15,2024-08-10 17:17:25.000,,,,1,2024-08-10 17:17:25,首次采集，仅显示当前值,8370954.7409
4,115502106090855,学生藏手机 vs 老师查手机！,23079280,393709394,0,0,3697.03,20,6242.65,2025-11-06 17:47:17.000,,,,1,2025-11-06 17:47:17,首次采集，仅显示当前值,8077748.2583
5,115621375252562,《收手机是你的谎言》,22887781,478610686,0,0,3990.82,3,5735.11,2025-11-27 21:20:00.000,,,,1,2025-11-27 21:20:00,首次采集，仅显示当前值,8010723.6169
6,547796211,一刀封神！万叶挡住雷神一刀！总会有地上的生灵，敢于直面雷霆的威光！,22481795,3079413,0,0,524.42,3,42869.53,2021-09-02 14:54:49.000,,,,1,2021-09-02 14:54:49,首次采集，仅显示当前值,7868628.4154
7,485294693,手机炸弹,21362045,5970160,0,0,748.54,3,28538.15,2023-04-22 18:17:19.000,,,,1,2023-04-22 18:17:19,首次采集，仅显示当前值,7476715.9219
8,114952366989017,猛男必看榜排名第1！主角光环也抵挡不了黑道大佬的的魅力！,20952967,604710494,0,0,2444.79,20,8570.44,2025-08-01 18:00:00.000,,,,1,2025-08-01 18:00:00,首次采集，仅显示当前值,7333538.6716
9,100092877,在5g时代再看2g广告。。,20759063,522225381,0,0,374.63,3,55411.73,2020-03-29 00:42:56.000,,,,1,2020-03-29 00:42:56,首次采集，仅显示当前值,7265672.211
10,1206307594,【明日方舟 中文字幕】佩佩角色PV [Mystic Light Quest]【2024夏活前瞻】,20308400,289334440,0,0,1164.38,3,17441.38,2024-07-28 03:03:40.000,,,,1,2024-07-28 03:03:40,首次采集，仅显示当前值,7107940.1841
11,546788069,【原神】2.0稻妻 宝箱全收集  (成就数358）鸣神岛/神无冢/八酝岛,19994974,1773346,0,0,455.46,3,43900.45,2021-07-21 16:00:08.000,,,,1,2021-07-21 16:00:08,首次采集，仅显示当前值,6998241.0633
12,253352981,《崩坏3》动画短片「阿波卡利斯如是说」,19964775,27534330,0,0,505.59,19,39488.45,2022-01-21 12:00:14.000,,,,1,2022-01-21 12:00:14,首次采集，仅显示当前值,6987671.4148
13,115586914912929,“杀神”和他那群“狼”崽子，杀穿警察局！,19858415,304815404,0,0,3375.56,20,5883.0,2025-11-21 17:27:09.000,,,,1,2025-11-21 17:27:09,首次采集，仅显示当前值,6950445.4988
14,857527108,【苏星河】我的这个微信，你们没人用过,19310275,598464467,0,0,565.44,3,34150.69,2022-08-31 21:45:25.000,,,,1,2022-08-31 21:45:25,首次采集，仅显示当前值,6758596.4166
15,114353370043703,以前的小孩玩手机 VS 现在的小孩玩手机,19278889,8864484,0,0,1738.23,3,11091.1,2025-04-18 17:20:00.000,,,,1,2025-04-18 17:20:00,首次采集，仅显示当前值,6747611.3509
16,114470659559117,全球扑克牌降临，你却获得了隐藏王牌？,18713922,3546670857980714,0,0,1766.39,19,10594.44,2025-05-09 10:00:00.000,,,,1,2025-05-09 10:00:00,首次采集，仅显示当前值,6549872.9017
17,768197037,当手机中的贪吃蛇来到现实会怎样？搞笑动画《贪吃蛇》,18544826,1962043663,0,0,494.66,20,37490.37,2022-04-14 18:04:39.000,,,,1,2022-04-14 18:04:39,首次采集，仅显示当前值,6490689.2645
18,113841950163476,洁宝 借我用一下你手机,18469726,525952604,0,0,1390.86,3,13279.34,2025-01-17 13:05:55.000,,,,1,2025-01-17 13:05:55,首次采集，仅显示当前值,6464404.2907
19,234118573,被这离谱的主播笑拥了,18167744,5374954,0,0,734.69,19,24728.36,2023-09-28 12:05:00.000,,,,1,2023-09-28 12:05:00,首次采集，仅显示当前值,6358710.5715
20,113361685581807,男孩穿着裙子，被妈妈拖进急诊室，他表面玩着手机，内心慌得一批,17764415,1306237635,0,0,1159.94,20,15314.9,2024-10-24 17:32:44.000,,,,1,2024-10-24 17:32:44,首次采集，仅显示当前值,6217545.434
