排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116216429545249,情绪价值拉满,10098883,牟牟刘啊-,3546607914059825,193237,52.26,3123.99,3232.7,0.0196,1788,"心理,爱情,抑郁",0.8283,1.0,0.081,0.0,0.5223,,1,2026-03-12 21:27:08,0.5669
2,115395671364874,【sora整活】国足抽象战术集锦，抑郁症治疗秘方,10087343,账号已注销,3632308500301957,5650,1785.37,1502.99,6711.5,0.1002,12623,"搞笑,抑郁症,运动,国足,世界杯,战术,集锦,抽象,Sora,整活",0.3985,1.0,0.4142,0.0,0.5212,,1,2025-10-18 22:37:18,0.5045
3,901276341,“每天一遍，防止抑郁率达99.999%！”,14098623,爱睡觉的_Koala,43887712,707881,19.92,423.6,33283.1,0.115,11911,"生命,人生,励志,影视剪辑,影视混剪,现实,葛优,秋日电影奇遇季,电影奇遇记之秋季大赏,罗翔",0.1123,1.0,0.4754,0.0,0.8977,,1,2022-10-07 19:05:08,0.4686
4,849617198,来看看世界上不一样的独特存在吧。,6200779,浅草也不能没马蹄,519914035,52488,118.14,152.27,40722.0,0.2277,23722,"生活记录,生活,人生,抑郁症,两性畸形,学生党,双性人,肿瘤,记录,打卡挑战,必剪创作",0.0404,1.0,0.9413,0.0,0.1563,,1,2021-12-01 20:09:33,0.466
5,116475654308901,我男朋友死在了我床上，而如今我也随他而去，魂归黄泉,7897902,摩的司机徐师傅,3493117728656046,2263896,3.49,3771.42,2094.1,0.0222,2778,"高能,抑郁症,精神小妹,精神小伙,人物纪录片,焦虑症,精神病,双向情感障碍,流量卡,万物研究所",1.0,0.3399,0.0918,0.1667,0.3157,,1,2026-04-29 08:00:00,0.4599
6,883792457,生命教育：活下去，活下去，活下去,7275748,大啊毛君,21036078,798208,9.12,137.6,52874.6,0.2419,68432,"教育,心理学,抑郁症,网文,社会,人文",0.0365,0.8881,1.0,0.0,0.2573,,1,2020-07-13 11:30:22,0.4587
7,470174318,孩子重度抑郁，成绩下滑，妈妈：都是手机惹的祸！,9459660,精神科熊生杰,1111937186,143869,65.75,263.96,35838.1,0.158,24124,"抑郁症,心理学,诊室日常,精神疾病,玩手机,心理疾病,亲子教育,学习成绩,精神科医生,万物研究所",0.07,1.0,0.6532,0.0,0.4623,,1,2022-06-23 08:04:59,0.4479
8,433672369,第一次挽救生命，是什么体验,4690074,北少喵,456954,150872,31.09,147.92,31706.2,0.22,11321,"第一次,生命,家庭,教育,校园,科普,体验,抑郁,青少年,焦虑人群生存指南,社科人文分享官·第二期",0.0392,1.0,0.9095,0.0,0.0145,,1,2022-12-12 12:00:00,0.4451
9,76088106,华晨宇写给抑郁症的歌《好想爱这个世界啊》官方视频出炉,15187919,蟹姐哇,137696698,4768,3185.39,259.21,58594.0,0.0751,43873,"华晨宇,花花,华语现场,抑郁症,现场,音乐现场",0.0687,1.0,0.3105,0.0,1.0,,1,2019-11-18 04:10:30,0.4327
10,537651995,世界公认最佳放松雨声，432HZ的雨声是能让人体达到极度舒适的频率，白噪音，聆听大自然，睡眠，助眠，下雨天，真实雨声，学习，冥想，放空，解压，远离抑郁,14765451,账号已注销,697612310,22094,668.3,651.65,22658.4,0.0305,9862,"催眠,雨声,助眠,冥想,哔哩哔哩跨年季,雨,抑郁,放松,睡眠,白噪音,美好生活日常记录",0.1728,1.0,0.1261,0.0,0.9603,,1,2023-12-24 11:44:14,0.4231
11,880129996,父母离婚对孩子的伤害有多大？看了这个视频你就知道了。,14269397,家简生活,1638566411,335846,42.49,629.99,22650.0,0.0374,4136,"抑郁症,油污净,打扫卫生,大扫除,解压,记录,居家好物",0.167,1.0,0.1546,0.0,0.9138,,1,2023-12-24 20:06:06,0.4224
12,844278550,好好的寒假放了个寂寞:学校要求在家朝五晚十，大年夜还开班会！,4747882,宋翔宇和江户川雨,169229040,383928,12.37,100.01,47471.9,0.169,29072,"抑郁症,内卷,高考,学习,法律,校园,网抑云,学生,竞争,高中",0.0265,1.0,0.6986,0.0,0.02,,1,2021-02-23 14:14:58,0.3997
13,80899952,【武林外传】武林骚话！每天一遍，防止抑郁！,6591614,风云熊,38347595,485707,13.57,114.36,57639.9,0.1266,2193,"武林外传,沙溢,白展堂,搞笑视频,洗脑循环,鬼畜调教,鬼畜,搞笑,蜜汁带感,全能打卡挑战",0.0303,1.0,0.5234,0.0,0.193,,1,2019-12-27 22:17:16,0.3831
14,51473940,抑郁听两遍-《孤儿乐园》,12205465,Ottimisti,84121473,4733,2578.8,192.74,63326.8,0.0533,15716,"致郁,音乐,单曲,抑郁症,抑郁,高音质",0.0511,1.0,0.2203,0.0,0.72,,1,2019-05-04 23:18:05,0.3814
15,115891924632305,误闯天家了 ！！！！,5703837,摩徒机车,3546569448098342,270616,21.08,1237.8,4608.1,0.0195,233,"爱情,生活记录,高能,旅游,人生,记录我的美食日常,抑郁,记录",0.3282,1.0,0.0806,0.0,0.1097,,1,2026-01-14 14:05:18,0.3756
16,95386309,【每天一遍\走出抑郁】魔性舞蹈，停不下来，今天你治愈了吗？,8162394,奇迹星-火,384962325,10946,745.7,146.2,55831.8,0.0938,5678,"是在下输了,歪果仁,全程高能,搞笑视频,洗脑,魔性",0.0388,1.0,0.3878,0.0,0.3405,,1,2020-03-12 06:19:15,0.3732
17,515146765,压力大，容易emo，做什么事都没有兴趣，强烈建议看看这部电影,6195722,吾聊电影,188807182,229915,26.95,181.77,34084.6,0.1107,11883,"堺雅人,电影解说,丈夫得了抑郁症,电影,影评杂谈,抑郁,好看放映集市",0.0482,1.0,0.4576,0.0,0.1559,,1,2022-09-04 09:30:21,0.3716
18,516597250,谁说弹钢琴可以变优雅，钢琴在他这会抑郁的,7430095,娱圈班主任,331897263,40574,183.12,224.52,33093.6,0.0897,5157,"综艺,明星,娱乐",0.0595,1.0,0.3708,0.0,0.2717,,1,2022-10-15 16:33:20,0.3692
19,444983346,走进黑色博物馆，扮演一名精神病人，体验他们的真实感受。,11234033,水星逛博物馆,1431687716,281450,39.91,412.91,27207.3,0.0252,1966,"抑郁症,精神病人",0.1095,1.0,0.1042,0.0,0.6288,,1,2023-06-17 22:50:51,0.3666
20,115916721364401,世界公认最佳解压、432Hz疗愈雨声：身体秒放松、大自然顶级舒适白噪音，抑郁焦虑都被洗净、学习冥想时放空大脑，失眠夜秒入深睡的雨夜沉浸、一觉睡到自然醒,4554274,985睡务局,3493104854239652,46707,97.51,1011.41,4502.9,0.041,6629,"雨声,治愈,学习,身体,助眠,冥想,噪音,睡眠,放松,白噪音",0.2682,1.0,0.1695,0.0,0.0018,,1,2026-01-18 23:14:40,0.3645
21,1556605396,憋笑大挑战看你能坚持几秒,9763896,大森子哈哈哈,3546578497309525,1033847,9.44,581.94,16778.0,0.0443,1917,"娱乐,生活记录,抑郁",0.1543,0.9202,0.1831,0.0,0.4908,,1,2024-08-25 12:06:01,0.362
22,605811740,学习英语一半是爱好一半是因为她,5598825,刘涛teacherliu,1070837080,453782,12.34,175.54,31894.1,0.1051,1906,"生活记录,爱情,情感,颜值,过去,回到过去,抑郁,大多数的爱情故事",0.0465,1.0,0.4345,0.0,0.0998,,1,2022-12-04 16:03:06,0.3608
