排名,note_id,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,69fa33cd000000003701c006,抑郁的大脑到底发生了什么？,476901,疯狂的西蒙斯,5f3e949d00000000010019f3,246.57,1934.2,0.0222,10578,"脑科学,抑郁,RED新生代创作大赛,科学向导",1.0,0.0441,0.1667,1.0,,1,2026-05-06 00:00:00,0.5466
2,6a5ddd75000000001b01e58d,很绝望也很抑郁,743,无法自救,63f9d4a800000000100257dd,0.0,0.0,0.5034,374,,0.0,1.0,1.0,0.0005,,1,,0.5001
3,6a5f52dd00000000110051a2,在香港住很难不抑郁,1335,摆烂小福,64311a960000000029010f26,0.0,0.0,0.4,534,"抑郁,青春期,抑郁症,孩子慢慢来,青春期抑郁,青少年心理,作者",0.0,0.7947,1.0,0.0018,,1,,0.4387
4,6a43a7130000000022016ea0,抑郁失业两年，其实一直不知道抑郁的原因,492,六岳,5ee8e0b5000000000101c7ab,0.0,0.0,0.3232,159,"抑郁焦虑,抑郁症,失业后的状态,失业日记,作者",0.0,0.642,1.0,0.0,,1,,0.3926
5,6a34af920000000006031be5,打扮是对抗抑郁的良药,117027,拔草委员会清洁工,5f76d8a500000000010033ba,0.0,0.0,0.0157,1839,"抑郁症,爱情,求助,中度抑郁症,心理问题,感情树洞,关于感情,真的很着急,迷茫",0.0,0.0312,1.0,0.2446,,1,,0.2461
6,6a58ff2b000000001b01e18b,其实暑假待在家，很容易致郁,4782,小威向上生长,668e517c000000000d027e10,0.0,0.0,0.0711,340,"上海龙华医院周圆,抑郁焦虑,抑郁症焦虑症,焦虑症,抑郁症,失眠焦虑,抑郁,焦虑,抑郁躯体化,抑郁发作",0.0,0.1412,1.0,0.009,,1,,0.2437
7,6a22668b0000000036033cc3,长期抑郁+慢性病后，发现自己无法适应社会,6489,becutie,5ee8e0b5000000000101c7ab,0.0,0.0,0.0663,430,"抑郁焦虑,抑郁症,失业后的状态,失业日记,作者",0.0,0.1316,1.0,0.0126,,1,,0.2414
8,6a2a2d94000000000702f857,成年人最大的崩溃，不是压力大，而是没人懂,2696,KelseySay1117,691c6d6d00000000370309e1,0.0,0.0,0.0171,46,"心理问题,抑郁症患者,心理,对抗心理疾病,重视心理健康,释放情绪压力淡人可能是抑郁",0.0,0.0339,1.0,0.0046,,1,,0.2109
9,69e04bf5000000002200d47e,4.16—这才是抑郁症的真相,23746,明天会更好,68f608bb0000000037009f2a,22.19,1070.2,0.0326,775,"抑郁,抑郁焦虑,内耗,停止自我破坏,成年人的世界没有容易二字,成年人的世界,自我提升,认知觉醒,难过的时候",0.09,0.0648,0.1667,0.0488,,1,2026-06-11 00:00:00,0.0916
10,6a2cedca000000000800051e,评论区里走出抑郁泥潭的孩子，路径基本一致,10423,修一颗清净心,64311a960000000029010f26,10.2,1022.1,0.0461,480,"抑郁,青春期,抑郁症,青少年心理,关注青少年心理健康,孩子抑郁,抑郁的孩子,抑郁症康复,孩子抑郁怎么办,作者",0.0414,0.0915,0.1667,0.0208,,1,2026-06-13 00:00:00,0.0784
11,6a2ae0da0000000007022180,长期抑郁患者如何保持semi-functional,4690,要不你自己写吧,55fc13de3397db20f34659cf,4.48,1046.2,0.0358,168,"抑郁症,作者",0.0182,0.0712,0.1667,0.0088,,1,2026-06-12 00:00:00,0.0624
12,69ef3e310000000038021418,真正抑郁症的9个样子！,9717,神志病科周圆主任,5c501d8a000000001103bae6,3.03,3206.2,0.0871,846,"Cptsd,发展性创伤,抑郁,关注精神心理健康,作者",0.0123,0.173,0.0,0.0194,,1,2026-03-14 00:00:00,0.0591
13,69cb37c5000000001a02c9aa,24岁，人生停滞了,7591,拉屎通畅大王,5aa477c511be107c38269a81,1.16,6518.2,0.0868,659,作者,0.0047,0.1725,0.0,0.0149,,1,2025-10-27 00:00:00,0.0556
14,68fe2f68000000000400293d,我是原作者，抑郁自救，豆瓣八组万赞贴,4617,朱木兰,5f406bcb0000000001007773,5.26,878.2,0.018,83,作者,0.0213,0.0357,0.1667,0.0087,,1,2026-06-19 00:00:00,0.0528
15,6a2ee313000000001101296a,,26995,Stans5s,5f0dd42d0000000001003fb9,11.18,2414.2,0.0404,1091,作者,0.0453,0.0803,0.0,0.0556,,1,2026-04-16 00:00:00,0.0483
