排名,note_id,分享链接,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,69fa33cd000000003701c006,https://www.xiaohongshu.com/explore/69fa33cd000000003701c006,抑郁的大脑到底发生了什么？,476899,疯狂的西蒙斯,5f3e949d00000000010019f3,246.4,1935.4,0.0222,10577,"脑科学,抑郁,RED新生代创作大赛,科学向导",1.0,0.0394,0.1667,1.0,-0.0,9,2026-05-06 00:00:00,0.5452
2,6a5ddd75000000001b01e58d,https://www.xiaohongshu.com/explore/6a5ddd75000000001b01e58d,很绝望也很抑郁,744,无法自救,63f9d4a800000000100257dd,0.0,0.0,0.5027,374,,0.0,0.894,1.0,0.0016,0.13,4,,0.4684
3,6a427294000000002201b258,https://www.xiaohongshu.com/explore/67b6afdc000000000602a402,老婆真的抑郁了 我该怎么办,2842,马子狗,5bfd14be6af26b000103849b,0.23,12495.5,0.5623,1598,"迷茫的生活,一眼望到头的生活,失业后的状态,抑郁,焦虑,作者",0.0009,1.0,0.0,0.006,0.0,2,2025-02-20 00:00:00,0.3012
4,6a34af920000000006031be5,https://www.xiaohongshu.com/explore/6a34af920000000006031be5,打扮是对抗抑郁的良药,117027,拔草委员会清洁工,5f406bcb0000000001007773,133.07,879.4,0.0157,1839,作者,0.5401,0.0279,0.1667,0.2454,0.0,3,2026-06-19 00:00:00,0.2675
5,6a58ff2b000000001b01e18b,https://www.xiaohongshu.com/explore/6a58ff2b000000001b01e18b,其实暑假待在家，很容易致郁,4793,小威向上生长,5ffd9a5b000000000100ad62,0.0,0.0,0.0709,340,"不想待在家,放假大学生,暑假,期待放假的大学生,感觉自己有病,生活需要分享欲,家可以常回但不能久待",0.0,0.1262,1.0,0.01,0.23,3,,0.2394
6,68d601e00000000012033acc,https://www.xiaohongshu.com/explore/6a58ff2b000000001b01e18b,抑郁的人装正常人久了，慢慢地也会变得正常,56417,君莫笑,5ffd9a5b000000000100ad62,0.0,0.0,0.0271,1531,"不想待在家,放假大学生,暑假,期待放假的大学生,感觉自己有病,生活需要分享欲,家可以常回但不能久待",0.0,0.0483,1.0,0.1183,0.0,6,,0.2322
7,681b203b00000000120078cf,https://www.xiaohongshu.com/explore/6a5f52dd00000000110051a2,抑郁的一种可能：长期无望,25617,穿蓝衣服的人,675c6725000000001801d541,0.0,0.0,0.0261,668,"记录吧就现在,香港,香港租房,港中文博士",0.0,0.0464,1.0,0.0537,0.0,3,,0.222
8,693b85c8000000000d03b1cd,https://www.xiaohongshu.com/explore/6a56fb22000000002101a4bf,主包从抑郁九年到万粉博主经历了什么：,1548,查理白花猫,612318ce0000000001000a5e,0.0,0.0,0.0317,49,"唱唱反调,抑郁,神经科学,HOWTO,前额叶训练,运动,作者",0.0,0.0563,1.0,0.0032,0.0,5,,0.2174
9,6a5f52dd00000000110051a2,https://www.xiaohongshu.com/explore/67b6afdc000000000602a402,在香港住很难不抑郁,1337,摆烂小福,5bfd14be6af26b000103849b,0.11,12495.5,0.3994,534,"迷茫的生活,一眼望到头的生活,失业后的状态,抑郁,焦虑,作者",0.0004,0.7103,0.0,0.0028,0.15,3,2025-02-20 00:00:00,0.2137
10,68fe2f68000000000400293d,https://www.xiaohongshu.com/explore/6a427294000000002201b258,我是原作者，抑郁自救，豆瓣八组万赞贴,4617,朱木兰,661ddc0c0000000003030d54,0.0,0.0,0.018,83,"老婆,生育,生娃,抑郁,求助,作者",0.0,0.032,1.0,0.0097,0.0,2,,0.211
11,6a2a2d94000000000702f857,https://www.xiaohongshu.com/explore/6a5f52dd00000000110051a2,成年人最大的崩溃，不是压力大，而是没人懂,2696,KelseySay1117,675c6725000000001801d541,0.0,0.0,0.0171,46,"记录吧就现在,香港,香港租房,港中文博士",0.0,0.0303,1.0,0.0056,0.0,2,,0.21
12,67b6afdc000000000602a402,https://www.xiaohongshu.com/explore/67b6afdc000000000602a402,98年找不到工作，住所都没了,11602,咕噜咕噜吐泡泡,5bfd14be6af26b000103849b,0.93,12495.4,0.3509,4071,"迷茫的生活,一眼望到头的生活,失业后的状态,抑郁,焦虑,作者",0.0038,0.624,0.0,0.0243,0.0,2,2025-02-20 00:00:00,0.1922
13,6a43a7130000000022016ea0,https://www.xiaohongshu.com/explore/67b6afdc000000000602a402,抑郁失业两年，其实一直不知道抑郁的原因,496,六岳,5bfd14be6af26b000103849b,0.04,12495.4,0.3246,161,"迷茫的生活,一眼望到头的生活,失业后的状态,抑郁,焦虑,作者",0.0002,0.5773,0.0,0.001,0.81,2,2025-02-20 00:00:00,0.1734
14,6a5f2d3a000000000401ecc3,https://www.xiaohongshu.com/explore/6a2ee313000000001101296a,抑郁症真的会导致记忆力下降导致大脑损伤,564,momo,6954c121000000000301026d,0.58,975.4,0.1986,112,,0.0024,0.3532,0.1667,0.0012,,1,2026-06-15 00:00:00,0.1403
15,6a2cedca000000000800051e,https://www.xiaohongshu.com/explore/6a2cedca000000000800051e,评论区里走出抑郁泥潭的孩子，路径基本一致,10424,修一颗清净心,64311a960000000029010f26,10.19,1023.4,0.046,480,"抑郁,青春期,抑郁症,青少年心理,关注青少年心理健康,孩子抑郁,抑郁的孩子,抑郁症康复,孩子抑郁怎么办,作者",0.0414,0.0819,0.1667,0.0219,0.01,4,2026-06-13 00:00:00,0.0757
16,6a2ae0da0000000007022180,https://www.xiaohongshu.com/explore/6a2ae0da0000000007022180,长期抑郁患者如何保持semi-functional,4690,要不你自己写吧,55fc13de3397db20f34659cf,4.48,1047.4,0.0358,168,"抑郁症,作者",0.0182,0.0637,0.1667,0.0098,0.0,4,2026-06-12 00:00:00,0.0603
17,69b4ad22000000001a02a266,https://www.xiaohongshu.com/explore/6a34af920000000006031be5,心理自救指南：早期创伤与发展性抑郁（DD）,9401,Julia Wang,5f406bcb0000000001007773,10.69,879.5,0.0107,101,作者,0.0434,0.0191,0.1667,0.0197,,1,2026-06-19 00:00:00,0.0572
18,69ef3e310000000038021418,https://www.xiaohongshu.com/explore/69ef3e310000000038021418,真正抑郁症的9个样子！,9717,神志病科周圆主任,5c501d8a000000001103bae6,3.03,3206.2,0.0871,846,"Cptsd,发展性创伤,抑郁,关注精神心理健康,作者",0.0123,0.1548,0.0,0.0204,,1,2026-03-14 00:00:00,0.0538
19,69cb37c5000000001a02c9aa,https://www.xiaohongshu.com/explore/69cb37c5000000001a02c9aa,24岁，人生停滞了,7591,拉屎通畅大王,68da37090000000022020c48,2.71,2799.5,0.0868,659,"裸辞,抑郁症,焦虑症,迷茫,失业,原创漫画,我找不到人生方向,作者",0.011,0.1544,0.0,0.0159,0.0,3,2026-03-31 00:00:00,0.0526
20,68763a63000000001203f090,https://www.xiaohongshu.com/explore/69cb37c5000000001a02c9aa,北大应届毕业找不到工作后认清了父母的真相,17186,马超FelixMa,68da37090000000022020c48,6.14,2799.4,0.0673,1156,"裸辞,抑郁症,焦虑症,迷茫,失业,原创漫画,我找不到人生方向,作者",0.0249,0.1196,0.0,0.036,,1,2026-03-31 00:00:00,0.05
21,6a2ee313000000001101296a,https://www.xiaohongshu.com/explore/69e04bf5000000002200d47e,,26997,Stans5s,5f0dd42d0000000001003fb9,11.18,2415.4,0.0404,1091,作者,0.0454,0.0719,0.0,0.0566,0.01,2,2026-04-16 00:00:00,0.0459
22,6870c6b0000000001202dfb2,https://www.xiaohongshu.com/explore/69e04bf5000000002200d47e,主包抑郁九年恢复生命力的一些心法,35851,查理白花猫,5f0dd42d0000000001003fb9,14.84,2415.5,0.0199,713,作者,0.0602,0.0354,0.0,0.0752,,1,2026-04-16 00:00:00,0.043
23,6a22668b0000000036033cc3,https://www.xiaohongshu.com/explore/68763a63000000001203f090,长期抑郁+慢性病后，发现自己无法适应社会,6488,becutie,5b0c360e11be1037eff59bd0,0.76,8511.5,0.0663,430,"原生家庭,作者",0.0031,0.1179,0.0,0.0136,-0.02,3,2025-08-05 00:00:00,0.0385
24,6a30fd6c000000002003b3c1,https://www.xiaohongshu.com/explore/69cb37c5000000001a02c9aa,,2035,北京卫视生命缘,68da37090000000022020c48,0.73,2799.5,0.06,122,"裸辞,抑郁症,焦虑症,迷茫,失业,原创漫画,我找不到人生方向,作者",0.003,0.1066,0.0,0.0043,,1,2026-03-31 00:00:00,0.0337
25,69e04bf5000000002200d47e,https://www.xiaohongshu.com/explore/68d601e00000000012033acc,4.16—这才是抑郁症的真相,23747,明天会更好,688972780000000028032a5b,3.27,7263.3,0.0326,775,"抑郁症,抑郁症状,抑郁,让人窒息的瞬间,毕业生,失业,对抗抑郁症,抑郁症患者,心理自救,生活会越来越好的,作者",0.0133,0.058,0.0,0.0498,0.0,2,2025-09-26 00:00:00,0.0295
