排名,note_id,标题,互动量,作者,作者UID,点赞数,收藏数,评论数,标签,收藏率,互动密度,评论率,收藏得分,互动得分,评论得分,笔记年龄(小时),发布时间,价值综合评分
1,6a2a2d94000000000702f857,成年人最大的崩溃，不是压力大，而是没人懂,2696,KelseySay1117,691c6d6d00000000370309e1,1406,1244,46,"心理问题,抑郁症患者,心理,对抗心理疾病,重视心理健康,释放情绪压力淡人可能是抑郁",0.8848,0.4614,0.0327,1.0,1.0,0.0258,0,,0.7077
2,68fe2f68000000000400293d,我是原作者，抑郁自救，豆瓣八组万赞贴,4617,朱木兰,5f406bcb0000000001007773,2494,2040,83,作者,0.818,0.4418,0.0333,0.9245,0.9576,0.0263,878.2,2026-06-19 00:00:00,0.6649
3,6a22668b0000000036033cc3,长期抑郁+慢性病后，发现自己无法适应社会,6489,becutie,5ee8e0b5000000000101c7ab,3566,2493,430,"抑郁焦虑,抑郁症,失业后的状态,失业日记,作者",0.6991,0.3842,0.1206,0.7901,0.8326,0.0951,0,,0.5944
4,69e04bf5000000002200d47e,4.16—这才是抑郁症的真相,23746,明天会更好,68f608bb0000000037009f2a,14519,8452,775,"抑郁,抑郁焦虑,内耗,停止自我破坏,成年人的世界没有容易二字,成年人的世界,自我提升,认知觉醒,难过的时候",0.5821,0.3559,0.0534,0.6579,0.7714,0.0421,1070.19,2026-06-11 00:00:00,0.5072
5,6a5ddd75000000001b01e58d,很绝望也很抑郁,743,无法自救,63f9d4a800000000100257dd,295,74,374,,0.2508,0.0996,1.2678,0.2835,0.2158,1.0,0,,0.4782
6,69ef3e310000000038021418,真正抑郁症的9个样子！,9717,神志病科周圆主任,5c501d8a000000001103bae6,5898,2973,846,"Cptsd,发展性创伤,抑郁,关注精神心理健康,作者",0.5041,0.306,0.1434,0.5697,0.6631,0.1131,3206.18,2026-03-14 00:00:00,0.4607
7,6a2ae0da0000000007022180,长期抑郁患者如何保持semi-functional,4690,要不你自己写吧,55fc13de3397db20f34659cf,2996,1526,168,"抑郁症,作者",0.5093,0.3254,0.0561,0.5757,0.7051,0.0442,1046.16,2026-06-12 00:00:00,0.4551
8,69fa33cd000000003701c006,抑郁的大脑到底发生了什么？,476901,疯狂的西蒙斯,5f3e949d00000000010019f3,312727,153596,10578,"脑科学,抑郁,RED新生代创作大赛,科学向导",0.4912,0.3221,0.0338,0.5551,0.698,0.0267,1934.15,2026-05-06 00:00:00,0.4394
9,6a43a7130000000022016ea0,抑郁失业两年，其实一直不知道抑郁的原因,492,六岳,5ee8e0b5000000000101c7ab,248,85,159,"抑郁焦虑,抑郁症,失业后的状态,失业日记,作者",0.3427,0.1728,0.6411,0.3874,0.3744,0.5057,0,,0.419
10,6a2cedca000000000800051e,评论区里走出抑郁泥潭的孩子，路径基本一致,10423,修一颗清净心,64311a960000000029010f26,7136,2807,480,"抑郁,青春期,抑郁症,青少年心理,关注青少年心理健康,孩子抑郁,抑郁的孩子,抑郁症康复,孩子抑郁怎么办,作者",0.3934,0.2693,0.0673,0.4446,0.5836,0.0531,1022.15,2026-06-13 00:00:00,0.3688
11,68d601e00000000012033acc,抑郁的人装正常人久了，慢慢地也会变得正常,56416,君莫笑,688972780000000028032a5b,40040,14845,1531,"抑郁症,抑郁症状,抑郁,让人窒息的瞬间,毕业生,失业,对抗抑郁症,抑郁症患者,心理自救,生活会越来越好的,作者",0.3708,0.2631,0.0382,0.419,0.5703,0.0302,7262.16,2025-09-26 00:00:00,0.3477
12,6a56fb22000000002101a4bf,抑郁的本质其实是大脑状态转换能力下降,2866,Tyler的哲学,6775082e00000000150066a0,2063,740,63,"个人成长,观点分享,幸福,自媒体,抑郁,女性成长,命运的齿轮转到我,心路历程,自媒体运营,infp,作者",0.3587,0.2582,0.0305,0.4054,0.5596,0.0241,5414.18,2025-12-12 00:00:00,0.3373
13,6a5f52dd00000000110051a2,在香港住很难不抑郁,1335,摆烂小福,64311a960000000029010f26,687,114,534,"抑郁,青春期,抑郁症,孩子慢慢来,青春期抑郁,青少年心理,作者",0.1659,0.0854,0.7773,0.1875,0.1851,0.6131,0,,0.3145
14,6a58ff2b000000001b01e18b,其实暑假待在家，很容易致郁,4782,小威向上生长,668e517c000000000d027e10,3603,839,340,"上海龙华医院周圆,抑郁焦虑,抑郁症焦虑症,焦虑症,抑郁症,失眠焦虑,抑郁,焦虑,抑郁躯体化,抑郁发作",0.2329,0.1754,0.0944,0.2632,0.3802,0.0744,0,,0.2417
15,693b85c8000000000d03b1cd,主包从抑郁九年到万粉博主经历了什么：,1548,查理白花猫,6775082e00000000150066a0,1210,289,49,"个人成长,观点分享,幸福,自媒体,抑郁,女性成长,命运的齿轮转到我,心路历程,自媒体运营,infp,作者",0.2388,0.1867,0.0405,0.2699,0.4046,0.0319,5414.16,2025-12-12 00:00:00,0.2389
16,6a2ee313000000001101296a,,26995,Stans5s,5f0dd42d0000000001003fb9,21295,4609,1091,作者,0.2164,0.1707,0.0512,0.2446,0.37,0.0404,2414.17,2026-04-16 00:00:00,0.221
17,69cb37c5000000001a02c9aa,24岁，人生停滞了,7591,拉屎通畅大王,5aa477c511be107c38269a81,5991,941,659,作者,0.1571,0.124,0.11,0.1775,0.2687,0.0868,6518.19,2025-10-27 00:00:00,0.1776
18,68a93244000000001d03490c,,600,沈阳精神科杜红兴,63aac57e0000000026013460,501,81,18,"小红书创作灵感设计大赛,我爱全世界,希望别人看到我的样子,瑞士,女性,成长,作者",0.1617,0.135,0.0359,0.1827,0.2926,0.0283,8318.2,2025-08-13 00:00:00,0.1694
19,6a34af920000000006031be5,打扮是对抗抑郁的良药,117027,拔草委员会清洁工,5f76d8a500000000010033ba,101158,14030,1839,"抑郁症,爱情,求助,中度抑郁症,心理问题,感情树洞,关于感情,真的很着急,迷茫",0.1387,0.1199,0.0182,0.1568,0.2598,0.0143,0,,0.1449
