排名,note_id,分享链接,标题,互动量,作者,作者UID,点赞数,收藏数,评论数,标签,收藏率,互动密度,评论率,收藏得分,互动得分,评论得分,笔记年龄(小时),发布时间,价值综合评分
1,6a2a2d94000000000702f857,https://www.xiaohongshu.com/explore/6a5f52dd00000000110051a2,成年人最大的崩溃，不是压力大，而是没人懂,2696,KelseySay1117,675c6725000000001801d541,1406,1244,46,"记录吧就现在,香港,香港租房,港中文博士",0.8848,0.4614,0.0327,1.0,1.0,0.0183,0,,0.7055
2,68fe2f68000000000400293d,https://www.xiaohongshu.com/explore/68fe2f68000000000400293d,我是原作者，抑郁自救，豆瓣八组万赞贴,4617,朱木兰,5f406bcb0000000001007773,2494,2040,83,作者,0.818,0.4418,0.0333,0.9245,0.9576,0.0186,878.2,2026-06-19 00:00:00,0.6627
3,6a22668b0000000036033cc3,https://www.xiaohongshu.com/explore/6a427294000000002201b258,长期抑郁+慢性病后，发现自己无法适应社会,6488,becutie,661ddc0c0000000003030d54,3565,2493,430,"老婆,生育,生娃,抑郁,求助,作者",0.6993,0.3842,0.1206,0.7904,0.8327,0.0676,0,,0.5862
4,6a427294000000002201b258,https://www.xiaohongshu.com/explore/68d601e00000000012033acc,老婆真的抑郁了 我该怎么办,2842,马子狗,688972780000000028032a5b,895,349,1598,"抑郁症,抑郁症状,抑郁,让人窒息的瞬间,毕业生,失业,对抗抑郁症,抑郁症患者,心理自救,生活会越来越好的,作者",0.3899,0.1228,1.7855,0.4407,0.2661,1.0,7263.44,2025-09-26 00:00:00,0.5561
5,69e04bf5000000002200d47e,https://www.xiaohongshu.com/explore/68d601e00000000012033acc,4.16—这才是抑郁症的真相,23747,明天会更好,688972780000000028032a5b,14520,8452,775,"抑郁症,抑郁症状,抑郁,让人窒息的瞬间,毕业生,失业,对抗抑郁症,抑郁症患者,心理自救,生活会越来越好的,作者",0.5821,0.3559,0.0534,0.6579,0.7713,0.0299,7263.34,2025-09-26 00:00:00,0.5035
6,6a2ae0da0000000007022180,https://www.xiaohongshu.com/explore/6a2ae0da0000000007022180,长期抑郁患者如何保持semi-functional,4690,要不你自己写吧,55fc13de3397db20f34659cf,2996,1526,168,"抑郁症,作者",0.5093,0.3254,0.0561,0.5757,0.7051,0.0314,1047.44,2026-06-12 00:00:00,0.4512
7,69ef3e310000000038021418,https://www.xiaohongshu.com/explore/69ef3e310000000038021418,真正抑郁症的9个样子！,9717,神志病科周圆主任,5c501d8a000000001103bae6,5898,2973,846,"Cptsd,发展性创伤,抑郁,关注精神心理健康,作者",0.5041,0.306,0.1434,0.5697,0.6631,0.0803,3206.18,2026-03-14 00:00:00,0.4509
8,681b203b00000000120078cf,https://www.xiaohongshu.com/explore/6a34af920000000006031be5,抑郁的一种可能：长期无望,25617,穿蓝衣服的人,5f406bcb0000000001007773,16712,8237,668,作者,0.4929,0.3215,0.04,0.5571,0.6969,0.0224,879.44,2026-06-19 00:00:00,0.4386
9,69fa33cd000000003701c006,https://www.xiaohongshu.com/explore/69fa33cd000000003701c006,抑郁的大脑到底发生了什么？,476899,疯狂的西蒙斯,5f3e949d00000000010019f3,312725,153597,10577,"脑科学,抑郁,RED新生代创作大赛,科学向导",0.4912,0.3221,0.0338,0.5551,0.698,0.0189,1935.43,2026-05-06 00:00:00,0.4371
10,6a5ddd75000000001b01e58d,https://www.xiaohongshu.com/explore/6a5ddd75000000001b01e58d,很绝望也很抑郁,744,无法自救,63f9d4a800000000100257dd,295,75,374,,0.2542,0.1008,1.2678,0.2873,0.2185,0.7101,0,,0.3935
