排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116719712470567,虎哥摩根时代请勿模仿虎哥已经来到哔哩哔哩入驻,16722212,虎哥二次元教父,1298579146,1590409,10.51,15235.17,1097.6,0.0477,4944,"二次元,经典,沈阳,时代,抽象,虎哥,狠活,好果汁",1.0,0.9901,0.2103,0.1667,0.2216,,1,2026-06-09 18:40:20,0.6368
2,618644211,【原神HoYoFair】时代… 变了？,14637569,No_Tables,1220617185,679608,21.54,588.96,24853.3,0.2233,17600,"原神UP主激励计划,动画,生日会,Blender,Blender3D,原神,HoYoFair",0.0387,1.0,0.9846,0.0,0.1486,,1,2023-09-23 23:00:00,0.4734
3,433068632,致敬经典！马嘉祺翻唱亚洲第一男高音张雨生《我期待》【时代少年团三周年音乐分享会】,10557979,马嘉祺放映馆,237792333,351209,30.06,329.13,32078.7,0.2268,1273865,"安利向,翻唱,唱歌,音乐现场,开口跪,TF家族,音乐,时代少年团,马嘉祺,华语现场",0.0216,1.0,1.0,0.0,0.0059,,1,2022-11-26 21:32:40,0.4571
4,1750105141,春晚为什么越来越难看？因为本来就不是给你看的,13956606,十三只牛,438083655,399225,34.96,644.23,21664.1,0.1696,17037,"社会观察局,心理,社会,知识,春晚,人文,时代,春节,2024,底层逻辑,请回答这个时代",0.0423,1.0,0.7478,0.0,0.1248,,1,2024-02-03 20:10:32,0.4247
5,514827893,学生时代的狠人,33855931,刘幸运不背实,96793524,560705,60.38,984.41,34392.1,0.0423,10349,"搞笑,穿越,剧情,短剧,书生,奇幻,自制,许天奇,锤娜丽莎,周英俊,向夏,许吴彬,龙顶天,刘背实,王佳玉,中二,杜煜峰,沙雕,普通话,朱莉,姥姥,中国大陆,老杜,东北花泽类,Julie,倒霉侠刘背实,周欢,嗯呐朱莉,陈佳怡,唐雷,合作机构,Huan Zhou,奋斗吧，龙顶天,Wubin Xu,Yufeng Du,Tianqi Xu,Yingjun Zhou,Beishi Liu,Xia Xiang,Ennazhuli,Jiahe Ji,倒霉侠刘背实#,大米麒麟,#背实,Jiayu Wang,背实,齐向阳（本名）,周天仇,江无邪,宋清风",0.0646,1.0,0.1865,0.0,0.8209,,1,2022-08-22 12:09:34,0.3888
6,886159953,时代少年团——少年on fire全集,22487127,你想听个笑话吗,14631389,81165,277.05,465.68,48288.5,0.0925,4357,"时代少年团,TNT时代少年团,少年on fire,少年on line,未播花絮,打歌舞台",0.0306,1.0,0.4078,0.0,0.4232,,1,2021-01-20 11:45:05,0.3831
7,63939438,《台风蜕变之战》合集,11072996,一枚精分答答,15169133,140634,78.74,182.0,60839.9,0.1246,3070,"丁程鑫,严浩翔,宋亚轩,刘耀文,贺峻霖,张真源,马嘉祺,时代少年团",0.0119,1.0,0.5494,0.0,0.0239,,1,2019-08-16 12:22:23,0.3659
8,88611495,【时代少年团】新团综之少年梦游记（1080P 全十二期）,19328737,Starmie_127,22740573,50765,380.75,342.13,56495.7,0.0869,5472,"严浩翔,刘耀文,丁程鑫,宋亚轩,贺峻霖,马嘉祺,时代少年团,张真源,真人秀,综艺",0.0225,1.0,0.3832,0.0,0.3127,,1,2020-02-13 12:32:21,0.3646
9,83009525,震撼！刘耀文朱志鑫-屠夫养成系大跳《trouble maker》，国组05line性感风也能驾驭？？？,25697307,Oh-Sirius,261555124,19218,1337.15,448.63,57279.8,0.0497,52828,"刘耀文,时代少年团,troublemaker,翻跳,舞台,live,练习室,TF家族,舞蹈",0.0294,1.0,0.2191,0.0,0.5355,,1,2020-01-11 20:29:52,0.3562
10,307224756,在课上放我们配的小时代外国同学都看呆了,10389160,弗雷达不要拖拉,22614140,14905,697.03,333.21,31178.8,0.1093,11164,"林萧,郭敬明,搞笑,小时代,配音,2022影娱年终大盘点",0.0219,1.0,0.4819,0.0,0.0,,1,2023-01-03 09:27:23,0.3529
11,979870300,“狠活的时代……已经死了。”补档,19732832,75fps,35570604,240627,82.01,517.1,38160.5,0.0642,3895,"虎哥,抽象,刀哥,整活,鬼畜,搞笑",0.0339,1.0,0.2831,0.0,0.3269,,1,2022-03-18 11:46:41,0.3495
12,285986550,时代少年团物料合集1（已上限）,15062747,睡在TNT怀里,583195026,84610,178.03,280.6,53680.8,0.0845,2147,"TNT,明星,时代少年团,TNT时代少年团",0.0184,1.0,0.3726,0.0,0.1635,,1,2020-06-09 19:26:51,0.3464
13,116079812681419,当铁三角回农村过年！,21817510,一串大福,393709394,3285301,6.64,5726.66,3809.8,0.0321,1563,"搞笑,来福来福,一串大福,过年,春节,学生时代,真实,新年小剧场,fyp",0.3759,0.6254,0.1415,0.0,0.3998,,1,2026-02-16 18:27:52,0.3374
14,551765509,卧槽！原来在绝对的美貌面前，根本不需要高颅顶和直角肩！,10978822,她是惊蛰,291318137,57706,190.25,283.6,38712.8,0.0868,4974,"春节影视好看指南,昭和时代,女神,影视剪辑,美女,Z+观创团,经典影视考古大赛",0.0186,1.0,0.3827,0.0,0.0206,,1,2022-02-23 11:27:41,0.3342
15,88175782,【时代少年团】《光环~的少年》完结纪录片合集,10982817,一枚精分答答,15169133,140634,78.1,194.25,56540.8,0.0861,1484,"宋亚轩,刘耀文,马嘉祺,丁程鑫,严浩翔,张真源,时代少年团,贺峻霖",0.0128,1.0,0.3796,0.0,0.0208,,1,2020-02-11 15:26:47,0.3318
16,61926807,中国小哥在韩国舞台上演唱《雪落下的声音》听得鸡皮疙瘩！！,21745830,米奇木木三不愛米奇,164895974,36139,601.73,355.52,61165.4,0.0304,24453,"马嘉祺,雪落下的声音,开口跪,TF家族,音乐,歌曲,台风蜕变之战,时代少年团,音乐现场,翻唱",0.0233,1.0,0.134,0.0,0.3973,,1,2019-08-02 22:50:54,0.3235
17,73936539,大人，时代变了！！,15710145,--圈圈--,8784855,1557390,10.09,266.12,59034.1,0.06,7756,"方舟生存进化,解说,生存,单机,新人,搞笑,单机联机,时代变了",0.0175,0.9499,0.2646,0.0,0.1861,,1,2019-10-30 18:13:28,0.3142
18,329606749,【TNT时代少年团】团综《我们的新家》合集（已更完）,13594291,苦瓜哭哭哭,297617173,72026,188.74,265.11,51278.7,0.0526,1607,"马嘉祺,TNT,丁程鑫,贺峻霖,严浩翔,张真源,时代少年团,宋亚轩,刘耀文,综艺",0.0174,1.0,0.2319,0.0,0.1121,,1,2020-09-17 21:32:18,0.3128
19,674047376,【刘耀文】谁在躁动！天才主舞的神级直拍，是你梦里的《criminal》吗？,16429545,刘耀文星光放映厅,199232775,234538,70.05,371.84,44184.9,0.0322,88322,"刘耀文,时代少年团,翻跳,娱乐,TF家族,00后,舞蹈,明星,耀文宇宙之All in集锦",0.0244,1.0,0.142,0.0,0.2113,,1,2021-07-10 11:22:10,0.3068
20,115138023661066,谁来谁没来？阅兵观礼台2015 VS 2025，看世界格局的重塑,19646503,小王Albert,1140672573,5308416,3.7,2518.31,7801.5,0.152,8411,"外交,阅兵,中国,历史,抗战,2025阅兵,国际,反法西斯战争胜利,抗日战争胜利,请回答这个时代",0.1653,0.3485,0.6702,0.0,0.3239,,1,2025-09-03 10:48:15,0.3031
21,83019019,当《不染》遇上戏腔？！听得我头皮发麻了！！！,12736218,米奇木木三不愛米奇,164895974,36139,352.42,222.36,57278.2,0.0401,9749,"马嘉祺,时代少年团,开口跪,音乐,舞台,不染,TF家族,音乐现场,明星,翻唱",0.0146,1.0,0.1768,0.0,0.0821,,1,2020-01-11 22:07:11,0.298
