排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
1,618644211,【原神HoYoFair】时代… 变了？,14637569,No_Tables,1220617185,679608,1395780,1020939,799943,217495,35030,17600,"原神UP主激励计划,动画,生日会,Blender,Blender3D,原神,HoYoFair",1.3046,0.2233,0.0546,21.5383,0.0149,0.5144,0.9843,1.0,0.0153,0.0276,24853.28,2023-09-23 23:00:00,0.6304
2,433068632,致敬经典！马嘉祺翻唱亚洲第一男高音张雨生《我期待》【时代少年团三周年音乐分享会】,10557979,马嘉祺放映馆,237792333,351209,111566,56333,86567,5668279,866161,1273865,"安利向,翻唱,唱歌,音乐现场,开口跪,TF家族,音乐,时代少年团,马嘉祺,华语现场",1.2809,0.2268,0.0082,30.0618,0.5369,0.5044,1.0,0.1084,0.0216,1.0,32078.74,2022-11-26 21:32:40,0.5504
3,91678368,【完结合集】《两晋十六国》看懂后三国时代174年的乱世风雨,12105791,安州牧,7481602,2547414,229993,235159,329378,60359,184380,9422,"历史,淝水之战,人文杂谈,知识分享官,知识,谢安,南北朝,十六国",2.4546,0.0816,0.0272,4.7522,0.005,1.0,0.3393,0.4732,0.0027,0.0092,56176.26,2020-02-26 20:00:56,0.5307
4,679142287,【时代少年团】宋亚轩刘耀文《一起等雨停》,10885584,TF家族,3670216,9176767,463343,252136,236429,123854,361132,94916,"TNT时代少年团,时代少年团,娱你在一起,明星,娱乐",1.0544,0.1293,0.0217,1.1862,0.0114,0.4088,0.5564,0.3679,0.0,0.0211,38774.27,2022-02-20 22:00:12,0.3579
5,95387918,【TNT时代少年团】【TNT宅家日记合集】倾情巨制！下饭神综！,10389472,Dido2ng-L,27269274,16643,139467,11384,189156,24649,151484,939,"时代少年团,TNT,综艺",1.4379,0.0474,0.0182,624.2548,0.0024,0.5707,0.1835,0.3004,0.4664,0.0044,55816.29,2020-03-12 19:59:03,0.3528
6,1750105141,春晚为什么越来越难看？因为本来就不是给你看的,13956606,十三只牛,438083655,399225,1367969,631131,294420,60918,57054,17037,"社会观察局,心理,社会,知识,春晚,人文,时代,春节,2024,底层逻辑,请回答这个时代",0.6766,0.1696,0.0211,34.9592,0.0044,0.2493,0.7399,0.3559,0.0253,0.0081,21664.11,2024-02-03 20:10:32,0.3467
7,83009525,震撼！刘耀文朱志鑫-屠夫养成系大跳《trouble maker》，国组05line性感风也能驾驭？？？,25697307,Oh-Sirius,261555124,19218,559029,107273,451860,432739,107447,52828,"刘耀文,时代少年团,troublemaker,翻跳,舞台,live,练习室,TF家族,舞蹈",1.0002,0.0497,0.0176,1337.1478,0.0168,0.3859,0.1942,0.2885,1.0,0.0313,57279.78,2020-01-11 20:29:52,0.3445
8,115138023661066,谁来谁没来？阅兵观礼台2015 VS 2025，看世界格局的重塑,19646503,小王Albert,1140672573,5308416,1619001,893261,402697,145734,63019,8411,"外交,阅兵,中国,历史,抗战,2025阅兵,国际,反法西斯战争胜利,抗日战争胜利,请回答这个时代",0.8005,0.152,0.0205,3.701,0.0074,0.3016,0.6596,0.3444,0.0019,0.0138,7801.48,2025-09-03 10:48:15,0.3409
9,88611495,【时代少年团】新团综之少年梦游记（1080P 全十二期）,19328737,Starmie_127,22740573,50765,297372,35595,309932,45073,1032239,5472,"严浩翔,刘耀文,丁程鑫,宋亚轩,贺峻霖,马嘉祺,时代少年团,张真源,真人秀,综艺",1.1619,0.0869,0.016,380.7493,0.0023,0.4542,0.3635,0.2588,0.2841,0.0043,56495.74,2020-02-13 12:32:21,0.3304
10,307224756,在课上放我们配的小时代外国同学都看呆了,10389160,弗雷达不要拖拉,22614140,14905,704145,187091,218081,349847,15430,11164,"林萧,郭敬明,搞笑,小时代,配音,2022影娱年终大盘点",0.5754,0.1093,0.021,697.0252,0.0337,0.2066,0.4654,0.3539,0.5209,0.0627,31178.82,2023-01-03 09:27:23,0.3178
