排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116701978955142,穿搭测评交友,14074553,张宇斐,480963436,177119,79.46,12181.72,1147.7,0.0685,7112,"穿搭,种草,服饰",1.0,1.0,0.3243,0.1667,0.5273,,1,2026-06-06 17:00:00,0.6926
2,116486660161710,永远都不知道对手是什么“糕手”,11756506,小藤777,3546591034083329,345779,34.0,5702.17,2061.8,0.0678,6430,"穿搭,服饰,LOLITA",0.4681,1.0,0.321,0.1667,0.4015,,1,2026-04-29 14:53:52,0.5198
3,696760524,『从头看她』1920-2020，中国女性发型的百年变迁,15085101,朵朵花林,297344797,1950000,7.74,518.58,29081.3,0.2006,13854,"女性,中国,服饰,发型,美妆,百年变迁",0.0426,1.0,0.9498,0.0,0.5821,,1,2023-03-30 19:20:00,0.5109
4,292410332,1920-2020 百年变迁，我眼中的中国女性真实之美。,14190477,朵朵花林,297344797,1950000,7.28,328.46,43195.0,0.1813,14977,"女性,服饰,中国,文化,百年之美,历史,妆容,流行",0.027,1.0,0.8584,0.0,0.5336,,1,2021-08-19 17:40:38,0.4831
5,116770346109104,穿搭测评交友,5339982,张宇斐,480963436,177119,30.15,6216.0,859.1,0.0288,1034,"种草,服饰,穿搭",0.5103,1.0,0.1364,0.1667,0.0535,,1,2026-06-18 17:35:27,0.4607
6,724173980,【晓观】穿搭配色的秘密，我给每个人都找到了！,4881564,晓观队长,207261582,547000,8.92,126.12,38705.5,0.2112,5039,"服饰搭配,搭配,时尚,服饰,时尚穿搭,服装配色,穿搭配色,红红火火穿搭指南",0.0104,1.0,1.0,0.0,0.0286,,1,2022-02-22 19:11:08,0.456
7,848646785,“他们不像是走秀，倒像是来赴宴的......”| 前方高能·国风大典混剪,13524237,w花酒不是花洒_,11860785,30604,441.91,323.5,41798.1,0.1446,12252,"国风,秀场,中国风,服饰,汉服,混剪,中国华服日,国风大典,国风奇妙纪-舞千年",0.0266,1.0,0.6847,0.0,0.4974,,1,2021-10-16 22:32:57,0.4446
8,116717514656663,闪购外卖Lolita，让广告来得更猛一些...！,5222602,月亮猹-,421178217,439269,11.89,4859.77,1074.7,0.0279,2443,"穿搭,服饰,改造,手工,外卖Lolita,外卖,三坑,diy,Lo裙,新锐设计师出道计划",0.3989,1.0,0.1321,0.1667,0.0471,,1,2026-06-09 18:00:00,0.4258
9,116581887640996,宝，这就是宫里的体面工作1？,5380105,橘橘是钢铁直男,3546906565282006,94364,57.01,3244.92,1658.0,0.0579,2320,"穿搭,服饰,宠物日常vlog,Cosplay",0.2664,1.0,0.2741,0.1667,0.0557,,1,2026-05-16 10:38:51,0.4153
10,116679782697050,贾法尔…你已经偷走了我的心,4519038,蛇尾巴猪呀,1994780927,736099,6.14,3635.03,1243.2,0.0722,1485,"穿搭,服饰,日常",0.2984,0.9217,0.3419,0.1667,0.009,,1,2026-06-02 17:28:11,0.4142
11,629536182,那个备婚两年刷爆全网的汉服婚礼正片来啦！！！,5079516,静知时岁,453029726,74643,68.05,107.99,47035.3,0.1649,8254,"华彩服章,时尚,中国风,服饰,汉服,日常,婚礼,生活,中国华服日,婚礼视频,明制婚礼",0.0089,1.0,0.7808,0.0,0.0394,,1,2021-03-12 17:19:46,0.4128
12,115626660077156,在？看看你的钱｜钱来！藏在人民币里的中式美学,7074378,o小庄o,6272357,1552800,4.56,1239.61,5706.9,0.2023,8400,"美妆,造型,服饰,中国风,穿搭,解锁中式次元新皮肤,人民币,美学",0.1018,0.684,0.9579,0.0,0.1476,,1,2025-11-28 17:44:22,0.4079
13,583721525,是的姐妹！你凭本事刷到了这个视频～,8601055,霜叶题诗,15805984,41730,206.11,161.82,53152.7,0.1275,12972,"欧美男模,颜值爆表,走秀,时尚,服饰,全能打卡挑战",0.0133,1.0,0.6037,0.0,0.2304,,1,2020-06-30 19:59:02,0.3978
14,596136940,摆脱春夏内衣“闷热”！与内衣和解，小胸显大不空杯！,22790190,小格子n,457226461,70635,322.65,615.38,37027.5,0.0286,1459,"时尚,种草,服饰,女装,618种草大作战,小胸,内衣,时尚穿搭,空杯,无钢圈内衣,春日种草游园会",0.0505,1.0,0.1354,0.0,1.0,,1,2022-05-03 17:09:56,0.3922
15,517202645,海澜之家空中变装,11007022,张津铭,166326710,365722,30.1,337.31,32631.4,0.1015,6709,"男装,变装,穿搭,服饰,空中变装挑战",0.0277,1.0,0.4806,0.0,0.3609,,1,2022-11-02 21:17:01,0.3905
16,1104059218,幸福了…幸福疯了！,6573147,幻雪HX,180926019,4620,1422.76,338.2,19435.7,0.1241,3061,"服饰,美妆,穿搭,二次元,cosplay,pjsk,疯了,toya,ooc致歉",0.0278,1.0,0.5876,0.0,0.1204,,1,2024-05-05 16:55:06,0.3879
17,115117454925391,耗时半年复刻电影里灰姑娘公主裙！每个女孩的公主梦都应该被实现呀,12147649,小宇菇菇,350975070,820708,14.8,1544.49,7865.2,0.0554,1080,"电影,穿搭,服饰,礼服,复古",0.1268,1.0,0.2623,0.0,0.4227,,1,2025-08-30 19:29:06,0.3828
18,114017272076341,OOTD：拍点你们喜欢看的,7276162,康康和爷爷,423385190,712310,10.21,580.78,12528.4,0.1024,3298,"服饰,生活记录,日常,穿搭,ootd,24~25时髦healing漫游,时髦聚光灯",0.0477,1.0,0.4848,0.0,0.1585,,1,2025-02-17 12:17:29,0.3771
19,114584107093591,宵 宫 衣 橱 大 公 开,6151910,vamoko,45024129,1079000,5.7,607.54,10125.9,0.1426,3156,"服饰,元气,舞蹈,cosplay,宵宫,ian进行曲,大姐姐,原神,灵魂COS大赏,二次元副本大作战2.0",0.0499,0.856,0.6752,0.0,0.0975,,1,2025-05-28 14:47:39,0.3738
20,1900185007,我的设计我来疼,7862320,随时anytime-,522774551,152265,51.64,363.54,21627.2,0.0946,3072,"服饰,国风,汉服,穿搭,女装,马面裙设计,汉服日常,马面,马面裙,千人千面·民族之美,穿出去才是最好的传承",0.0298,1.0,0.4479,0.0,0.1903,,1,2024-02-04 09:26:38,0.3676
21,116543685924393,当我花3000块买了四套真人芭比套装…,4964035,-小胡同学呀,262240557,404154,12.28,2727.37,1820.1,0.0225,288,"穿搭,开箱,服饰,胡有姬,时髦坐标有信号,真人芭比套装,爆改,谢安然",0.2239,1.0,0.1065,0.1667,0.0331,,1,2026-05-09 16:34:45,0.3668
22,116340983733006,请选择你的海岛度假穿搭！,5771545,-小胡同学呀,262240557,404154,14.28,2154.29,2679.1,0.0475,2473,"穿搭,女装,化妆,服饰,胡有姬,是谁在创造流行,反差,马尔代夫,海岛度假",0.1768,1.0,0.2249,0.0,0.0769,,1,2026-04-03 21:33:47,0.3557
23,116244128861139,谁说我国没有奢侈品？个顶个的顶级,4830714,柚子娱乐家,3546965876935011,177771,27.17,1570.63,3075.7,0.0649,149,"服饰,冷知识,奢侈品,非遗,涨知识,锦,国潮,万物研究所",0.1289,1.0,0.3073,0.0,0.0259,,1,2026-03-18 09:00:00,0.3527
24,115302037717325,国庆出游就带2条丝巾就够了，相当于带了🔟套古装衣服出门#丝巾变古装#国庆出游穿搭,5342083,百变花央本人,3546723995617630,107947,49.49,754.22,7082.9,0.0735,3616,"服饰,汉服,穿搭",0.0619,1.0,0.348,0.0,0.0536,,1,2025-10-02 09:46:46,0.3435
25,856918233,渐变色，但是很上头 ⚡️叮叮当当舞⚡️,7803735,Tocci椭奇,7375428,1169832,6.67,225.81,34558.2,0.0703,1831,"跳舞,洗脑神曲,服饰,4K,小姐姐,穿搭,换装,渐变色,热舞,一起来跳叮叮当当舞,轻舞蹈创作激励计划第六期",0.0185,1.0,0.3329,0.0,0.1871,,1,2022-08-14 14:25:26,0.3408
26,210044753,77岁爷爷穿汉服到故宫,6408714,宸辰and爷爷,555720779,69000,92.88,161.38,39712.4,0.0767,3291,"汉服,服饰,故宫,传统文化在哪里,跟着UP主创作吧（第二期）",0.0132,1.0,0.3632,0.0,0.1115,,1,2022-01-11 20:14:34,0.3378
27,273425877,热死人，谁还穿搭啊！,4584109,晓观队长,207261582,547000,8.38,173.63,26401.2,0.0862,3172,"帅哥,服饰,穿搭,健身,干货,背心,变帅,变好看,夏日时尚大改造,开启暑假的100种方式",0.0143,1.0,0.4081,0.0,0.0125,,1,2023-07-20 11:30:00,0.3372
28,904548876,这个牌子是懂流苏裙该怎么做才好看的,5622741,萌德-,24979808,155000,36.28,180.23,31197.5,0.0762,2127,"走秀,女神,服装,FASHION,服饰,欧美女模,秀场,时装周,模特,仙女裙",0.0148,1.0,0.3608,0.0,0.0688,,1,2023-01-01 15:07:55,0.3335
29,201032947,王祖贤，你TM到底怎么做到时尚超前20年的？,9015952,银桑欧巴呀,433725771,36456,247.31,168.86,53394.3,0.0555,5120,"王祖贤,女神,服饰,赌神,倩女幽魂,大丈夫日记",0.0139,1.0,0.2628,0.0,0.2529,,1,2020-06-20 18:18:41,0.332
30,751852569,版型差就是版型差，天王老子来了都怪不到我身材上面去,4673237,葡萄大人耶,374431069,474505,9.85,213.84,21853.5,0.078,5415,"女装,穿搭,服饰,身材,版型",0.0176,1.0,0.3693,0.0,0.0173,,1,2024-01-25 23:12:08,0.3309
31,1801723188,男生网上买衣服，关键词怎样搜才不会踩雷！,9319845,哈喽先生的潮流社,3546560436636301,44787,208.09,449.64,20727.5,0.0449,55,"穿搭,服饰,潮牌,潮男,男生穿搭,百元潮男穿搭攻略",0.0369,1.0,0.2126,0.0,0.2694,,1,2024-03-12 21:12:25,0.3305
32,114409473119537,一穿裙子一时爽 一直穿裙子一直…,5198061,402ephto_,3493136881945085,212576,24.45,478.38,10866.0,0.0662,2660,"穿搭,服饰",0.0393,1.0,0.3134,0.0,0.0458,,1,2025-04-27 18:36:37,0.3291
33,1100587435,原来幼稚的衣服设计师也是有用心啊,4652379,账号已注销,3494367549458593,655,7102.87,217.41,21399.6,0.0725,643,"生活记录,服饰,情感,设计,时尚,记录,画画的日常,2024bilibili迎春会",0.0178,1.0,0.3433,0.0,0.0162,,1,2024-02-13 21:04:40,0.3256
34,740750654,嫁到农村不用可怜我，我过的很快乐。,4513022,是宁心如,2107428051,224949,20.06,160.21,28168.9,0.0732,1533,"穿搭,美妆,服饰,日常,美术,艺术,农村",0.0132,1.0,0.3466,0.0,0.0086,,1,2023-05-07 19:47:59,0.3241
35,414130078,肉肉身材穿旗袍 到底可以多性感？？？,4774491,戒酒的99,28744352,278031,17.17,91.56,52146.2,0.072,4186,"暑期变美夏令营,女装,FASHION,性感,时尚,古风,中国风,旗袍,时尚穿搭,服饰",0.0075,1.0,0.3409,0.0,0.0228,,1,2020-08-11 18:30:07,0.3227
