排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116946053961603,一行5人嫌5000元机票贵，买了辆二手车从内蒙古自驾回湖北，结果车坏在半路：拖车、修车、油费、过路费花了24000元,1380902,大象新闻,522653994,1800197,0.77,10759.93,128.3,0.0248,795,1.0,0.993,0.0805,0.5,0.0344,,1,2026-07-19 18:02:15,0.6428
2,1050098592,【2024】如何优雅地完成一次出国旅行,1505577,还行小倪,86756464,154033,9.77,69.53,21653.0,0.3081,3020,0.0065,1.0,1.0,0.0,0.0442,,1,2024-02-03 21:24:23,0.4564
3,115353208295535,中国最便宜航空！1元一张机票！坐起来什么体验？飞机餐吃什么？,13682439,HOLA小测佬,406636263,5560251,2.46,1991.01,6872.1,0.034,2808,0.185,1.0,0.1104,0.0,1.0,,1,2025-10-11 18:18:00,0.4276
4,113925349707984,从北京到哈瓦那的机票要多少钱呢,1518611,Missya在澳洲,486180450,136202,11.15,117.45,12929.4,0.2601,8788,0.0109,1.0,0.8442,0.0,0.0453,,1,2025-02-01 09:00:00,0.4266
5,116215406270352,外航空姐揭秘坐飞机的一些秘密操作！,1173525,空姐贝贝薅羊毛版,3691000958552893,27884,42.09,364.1,3223.1,0.2184,9,0.0338,1.0,0.7089,0.0,0.0182,,1,2026-03-12 19:20:00,0.4037
6,116900822517803,退钱哥直播，后面的比赛已经看不起了，门票贵机票也贵,1072670,一百蚊四只粤睇粤大只,96224204,7177,149.46,3359.23,319.3,0.0126,4077,0.3122,1.0,0.0409,0.3333,0.0103,,1,2026-07-11 19:05:18,0.4029
7,116758350463663,他靠买下3000块钱布丁，白嫖了上百万头等舱机票,1845219,局外人森林猫,3546939113081228,2637,699.74,1997.11,924.0,0.0659,972,0.1856,1.0,0.2139,0.1667,0.0709,,1,2026-06-16 14:27:09,0.3805
8,114851116487751,全程干货！带领大家打破信息差，如何找到便宜机票的途径！我把我知道的全都告诉你！#户外徒步#健身#穷游攻略,1679594,硬汉形象26,592095891,1645821,1.02,186.46,9007.9,0.1579,979,0.0173,1.0,0.5125,0.0,0.0579,,1,2025-07-14 18:31:36,0.3635
9,116872519420747,飞机上遇到这种情况，你怎么办？,1097241,机慌失措M,3706997237090643,71,15454.1,2493.34,440.1,0.0075,1527,0.2317,1.0,0.0243,0.25,0.0122,,1,2026-07-06 18:20:13,0.3631
10,114981207084613,年薪60万的人《如何给领导订机票》（详细解读版）,1448928,打工人代表巍哥,1464874349,212904,6.81,171.36,8455.6,0.1561,3029,0.0159,1.0,0.5067,0.0,0.0398,,1,2025-08-06 18:46:51,0.3601
11,116735768336565,挑战72小时每餐只吃薯条...,1605373,汐豆Ceydo,9477269,68287,23.51,1578.11,1017.3,0.0471,703,0.1467,1.0,0.1529,0.1667,0.0521,,1,2026-06-12 17:08:40,0.3548
12,113405843218405,探秘全球最廉价航空！机票9块9€！到底有多离谱？,10446033,HOLA小测佬,406636263,5560251,1.88,691.59,15104.4,0.0143,1318,0.0643,1.0,0.0464,0.0,0.746,,1,2024-11-02 18:00:00,0.3532
