排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116838964923772,涨价两元的盒饭风波,6111191,地坛剧场,222674840,39316,155.44,10500.08,582.0,0.0421,1203,1.0,1.0,0.193,0.25,0.6537,,1,2026-06-30 20:08:03,0.6915
2,860504571,一块钱能做什么？在这里，一块钱一杯茶可以坐一整天，坚守村子最后一家茶馆，50年不涨价，果然人间烟火气，最抚凡人心！,1586402,Amy乐乐软糖,297936321,56181,28.24,49.5,32045.6,0.2181,2773,0.0047,1.0,1.0,0.0,0.0822,,1,2022-11-27 20:36:07,0.4596
3,115586780632772,没涨价前速玩！！赛季初国补下30万就能满改的枪！三角洲实用改枪码！,1211444,初水改枪,5995562,194415,6.23,205.7,5889.5,0.205,594,0.0196,1.0,0.9399,0.0,0.0348,,1,2025-11-21 16:41:57,0.4473
4,116549490837551,显卡涨价商家不发货只能认栽？小企鹅教你两句话让他乖乖发货！,4786929,一律懂法,54684514,66742,71.72,2646.14,1809.0,0.0274,851,0.252,1.0,0.1256,0.1667,0.4864,,1,2026-05-10 17:09:33,0.4244
5,116928404460835,童年不要钱的东西，换个名字涨价百倍？,1171072,大明白李淑芬,1375678265,532228,2.2,7694.49,152.2,0.0072,39,0.7328,0.4446,0.033,0.5,0.0297,,1,2026-07-18 18:00:00,0.4156
6,1502983677,无耻国货变相涨价，产品外壳单独售卖？,1429757,神仙弟弟阿鑫,381610296,96022,14.89,70.98,20143.1,0.1623,2054,0.0068,1.0,0.7442,0.0,0.0624,,1,2024-04-06 19:05:00,0.4071
7,114970083789574,国家育儿补贴刚落地，奶粉尿不湿迎来“技术性”涨价潮？,2183989,败家财经,532778711,100683,21.69,256.84,8503.4,0.1441,13914,0.0245,1.0,0.6607,0.0,0.1577,,1,2025-08-04 18:46:22,0.4052
8,290463235,【5毛的早餐你吃过吗？】85岁老奶奶早餐只卖5毛钱，27年从未涨价！,1472870,了不起的国人,1914027937,185720,7.93,32.21,45725.7,0.1603,2902,0.0031,1.0,0.735,0.0,0.0678,,1,2021-05-06 20:26:44,0.4047
9,806743962,“10块钱4个，我嫌不够刺激不够爽！”郑州2元面包店6年不涨价！,3694896,河南民生频道大参考,403207842,203989,18.11,89.75,41169.8,0.1229,7142,0.0085,1.0,0.5635,0.0,0.3485,,1,2021-11-12 16:22:59,0.4001
10,983081785,雪莲负责人：雪莲5毛一包13年未涨价，“赚不到很多钱 更多是情怀”,3765104,直播日照,590804848,102819,36.62,105.76,35600.6,0.1143,11085,0.0101,1.0,0.5241,0.0,0.3574,,1,2022-07-02 17:36:01,0.3936
11,922675003,卖了27年5角钱早餐的“早餐奶奶”走了,1128054,美丽浙江,3493122168326421,85152,13.25,49.86,22623.5,0.1512,3619,0.0047,1.0,0.6933,0.0,0.0243,,1,2023-12-25 10:39:41,0.3925
12,815028382,4块钱的通缉犯，一涨价立马落网...,8852906,川烈,3462389,1383021,6.4,259.16,34159.8,0.0295,2454,0.0247,1.0,0.1353,0.0,1.0,,1,2022-08-31 18:24:26,0.3845
13,114738138842511,太原小伙卖打卤面，80个鸡蛋当水泼，12元一碗，四年不涨价,6706944,小食光光,470990524,186369,35.99,708.07,9472.2,0.0406,8537,0.0674,1.0,0.1862,0.0,0.7289,,1,2025-06-25 10:00:00,0.3804
14,84808793,【出租屋改造】真·房东涨价系列，1500元改造12平米仓库小单间,1717748,蒋叉子,4916938,165175,10.4,30.15,56965.8,0.122,2480,0.0029,1.0,0.5594,0.0,0.0988,,1,2020-01-24 12:22:49,0.3726
