排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116425305888623,"1300公里杀去深圳,把16岁骗子姐妹花送进去了!",11009103,川烈,3462389,1383021,7.96,4713.43,2335.7,0.0372,7828,1.0,1.0,0.2278,0.0,0.1996,,1,2026-04-18 18:49:41,0.6155
2,291305457,大叔胎记病变奇痒难忍，疣状痣长满大腿,41067202,深圳卫健委,698057488,897772,45.74,922.32,44525.9,0.0548,9640,0.1957,1.0,0.3356,0.0,1.0,,1,2021-06-25 20:37:14,0.4758
3,618706242,来深圳打工后，我才知道：“人不仅仅要活着…”,8175523,卜谷w,628368628,52903,154.54,327.68,24949.6,0.149,15126,0.0695,1.0,0.9124,0.0,0.1241,,1,2023-09-19 12:56:23,0.4658
4,116623461582615,一个视频带你见识深圳到底有多少高科技！,3835141,小九万物,31843937,117407,32.67,2631.3,1457.5,0.0153,8,0.5583,1.0,0.0937,0.1667,0.0085,,1,2026-05-25 09:00:00,0.4621
5,367285086,全球首例“海蘑菇”在深圳发现,7283245,蘑菇球Mugoture,282089262,172151,42.31,318.98,22832.7,0.1461,5116,0.0677,1.0,0.8947,0.0,0.1003,,1,2023-12-16 17:48:26,0.4593
6,559332695,大学生如何在宿舍拍出《奔跑吧兄弟》,11576090,小叮当的伙伴们,241679003,1542254,7.51,351.73,32911.9,0.1318,14336,0.0746,1.0,0.8071,0.0,0.2147,,1,2022-10-22 18:38:07,0.4553
7,115234240988624,《斗逼大陆，绝世糖门》,6571171,Duang舟,1873239748,172374,38.12,889.92,7384.0,0.095,9459,0.1888,1.0,0.5818,0.0,0.0814,,1,2025-09-20 10:30:43,0.4311
8,367348986,深圳这公园迟早出个歼20飞行员,5368345,炸鸡哈哈哈哈,32281639,1554,3454.53,234.9,22853.6,0.1249,5359,0.0498,1.0,0.7648,0.0,0.0493,,1,2023-12-15 20:57:06,0.4229
9,946473558,【陪你一起看跨晚】听音乐就知道柯南演到哪里了,10532273,陈艺鑫chen,18437625,164462,64.04,333.68,31564.1,0.1068,5251,0.0708,1.0,0.654,0.0,0.1869,,1,2022-12-17 22:27:02,0.4207
10,772413658,大学生如何在宿舍拍出《最残大脑》,9932640,小叮当的伙伴们,241679003,1542254,6.44,290.14,34233.5,0.108,5278,0.0616,0.9904,0.6614,0.0,0.1709,,1,2022-08-28 17:00:05,0.4154
11,389880031,当up在校运会上唱起《孤勇者》并跳起了《爱你》| 南科大2022校运会开幕式力量举社表演,13152220,大勒個熊,27791894,32256,407.74,405.44,32439.7,0.0908,6129,0.086,1.0,0.556,0.0,0.2566,,1,2022-11-11 10:47:12,0.4127
12,116339037640681,一家三口在科技之都深圳体验黑科技，无人驾驶出租、无人机外卖、机器人餐厅，太赞了,5043993,方伟学长,395020765,269832,18.69,1867.24,2701.3,0.0237,115,0.3962,1.0,0.1451,0.0,0.0407,,1,2026-04-03 13:12:39,0.4019
13,1153454709,坚持统一，绝不动摇！我们要纠正台独思想，争取早日统一！,4511416,账号已注销,3546645123827930,25212,178.94,227.13,19863.0,0.1084,6500,0.0482,1.0,0.6638,0.0,0.0265,,1,2024-04-18 11:31:02,0.3999
14,889052780,父母近亲结婚，他全身长满「鱼鳞」，一抠就掉,18222344,深圳卫健委,698057488,897772,20.3,411.9,44239.4,0.0565,12371,0.0874,1.0,0.346,0.0,0.3916,,1,2021-07-07 19:05:12,0.3846
15,115354667910386,挑战在深圳用0元吃喝玩乐一整天！真的能行吗？一辈子的人在这一天都丢完了！,3900193,小迪爱分享,11641010,230889,16.89,567.47,6872.9,0.0743,159,0.1204,1.0,0.455,0.0,0.0102,,1,2025-10-11 17:35:00,0.3781
16,405970485,深圳10元盒饭火爆被围攻！避风塘炒虾，红烧牛腩，小龙虾三明治，送拿铁咖啡！还有盐焗鸡腿鸡蛋！,5121761,晚霖妈妈,501692936,491873,10.41,204.54,25040.5,0.0883,1625,0.0434,1.0,0.5407,0.0,0.0428,,1,2023-09-15 18:00:00,0.3754
