排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116448961829764,你可以熬夜，但第二天必须去做这些恢复。,7391197,心理能量1101,3493111189736293,442864,16.69,3293.03,2244.5,0.2124,9515,"心理学,熬夜,恢复,自我提升,长期熬夜",0.5102,0.5563,0.8902,0.0,0.2909,,1,2026-04-22 23:06:31,0.4992
2,116855037694421,带猫熬夜不让它睡觉，结果。。。,3377733,布丁仔和泡芙妹的一天,1655174976,286639,11.78,6454.95,523.3,0.0488,1440,"喵星人,毛茸茸的夏天,橘猫",1.0,0.3928,0.2045,0.25,0.0758,,1,2026-07-03 16:17:35,0.4842
3,116900755408216,转发给你天天熬夜的朋友,1972543,解忧小韩,3546724490546147,405888,4.86,5985.74,329.5,0.1292,4670,"校园,熬夜,睡眠,朋友,校园巨星计划",0.9273,0.162,0.5415,0.3333,0.0005,,1,2026-07-11 18:01:49,0.477
4,115309268699840,宿舍熬夜哥,20623431,果冻卡哇,252935647,922264,22.36,2965.17,6955.2,0.036,2919,"小八,搞笑,chiikawa,吉伊卡哇,大学生,室友,乌萨奇",0.4594,0.7454,0.1509,0.0,1.0,,1,2025-10-08 16:20:00,0.4543
5,426128202,熬夜密码！,3926306,樱桃小嘴巴114,458683,137061,28.65,106.04,37025.8,0.186,3896,"冷知识,科普,涨姿势,生活,失眠,熬夜,生活常识,食补,必剪创作,全能分享站",0.0164,0.9549,0.7795,0.0,0.1052,,1,2022-05-04 17:49:00,0.4101
6,116151048733109,熬夜玩小手机差点被抓住了,3492136,浪子mn,1957489700,107358,32.53,995.69,3507.2,0.0794,2030,"动画短片,可爱,生活记录,治愈,AI,蔚蓝档案,终末地,管理员,小企鹅,砂狼白子",0.1543,1.0,0.3328,0.0,0.0819,,1,2026-03-01 08:22:22,0.371
7,116137006407282,我不能熬夜啦！！！,3410227,爱妖术的侄女,391385961,95943,35.54,959.12,3555.6,0.0785,2863,"可爱,搞笑,vlog,在整一种很新的活,出行,小孩,老戏骨,抽象",0.1486,1.0,0.329,0.0,0.0775,,1,2026-02-27 08:00:00,0.3681
8,932800601,熬夜的好处，你知道的太晚了,5557882,自在中医说,1491746526,11818,470.29,129.95,42767.8,0.1088,11612,"科学3分钟,健康,熬夜",0.0201,1.0,0.456,0.0,0.1926,,1,2021-09-07 11:46:44,0.3665
9,115756247287282,为什么有时候明明很累，躺床上却还要报复性熬夜？,2235407,粉毛科普,82528901,76549,29.2,433.26,5159.5,0.1108,6331,"心理学,知识,科普,失眠,脑科学",0.0671,0.9734,0.4644,0.0,0.0145,,1,2025-12-22 12:05:00,0.3578
10,480468207,通宵熬夜后生物钟乱了可以这样调整,3336420,猎奇冷知识,1827077290,90110,37.03,108.21,30832.5,0.1089,5834,"睡眠,生物钟,熬夜,通宵",0.0168,1.0,0.4564,0.0,0.0735,,1,2023-01-17 19:01:04,0.3537
11,945701055,退钱！喝它女朋友凌晨三点还不让我睡觉！！！,12893323,小狸教你薅羊毛,3493076695779934,4461,2890.23,403.43,31959.6,0.0216,247,"健康,决明子,清肝,茶,解决,茶叶,熬夜,祛湿,明目,降火",0.0625,1.0,0.0905,0.0,0.5857,,1,2022-12-01 19:59:22,0.3454
12,61332246,【科学熬夜】8分钟搞定超高效睡眠法则,2306115,树熊时间,13873513,63987,36.04,37.64,61260.6,0.1026,4516,"安眠向,学习,睡眠,校园,生活,睡觉,失眠",0.0058,1.0,0.43,0.0,0.0183,,1,2019-07-29 23:01:14,0.3396
13,116414165884189,这些动作正在让你变丑！,3370808,局部地区one,211160472,59852,56.32,1409.19,2392.0,0.0107,14,"知识分享官,科普,熬夜,侧睡,饮食不规律",0.2183,1.0,0.0448,0.0,0.0754,,1,2026-04-16 19:34:04,0.332
14,856297082,关心朋友,2450023,学个小知识-,2063125832,73272,33.44,69.83,35087.1,0.0875,3687,"冷知识,涨知识,朋友,熬夜",0.0108,1.0,0.3667,0.0,0.026,,1,2022-07-24 12:31:07,0.3292
15,572461966,跟我一起念几遍，接着熬夜算你狠,2335178,中医骨伤张志晖,306477238,69395,33.65,85.83,27205.6,0.0781,6448,"健康,猝死,熬夜,早睡",0.0133,1.0,0.3273,0.0,0.0199,,1,2023-06-17 22:00:00,0.3214
16,850675779,生前何必久睡，死后必定长眠,2798824,沙雕视频收集工具人,455149497,10455,267.7,70.58,39656.9,0.0748,2560,"催眠,健康,生活,助眠,自制,心理,失眠,睡觉,熬夜,睡眠",0.0109,1.0,0.3135,0.0,0.0447,,1,2022-01-15 02:41:41,0.3205
17,272663884,原来熬夜还可以防小偷！,8815634,笑点有点低哦,158673680,225269,39.13,326.02,27040.1,0.0202,825,"搞笑研究所,搞笑研究所2023 4.0",0.0505,1.0,0.0847,0.0,0.3672,,1,2023-06-24 19:31:46,0.3188
18,114782480893604,原来熬夜带来的伤害是可以被抵消的？,8448275,小聪明张建国,1581616848,357717,23.62,917.34,9209.6,0.0504,184,"健康,科普,2025科学很可爱,熬夜,万物研究所",0.1421,0.7872,0.2112,0.0,0.3475,,1,2025-07-06 18:00:00,0.3164
19,114822863783408,熬夜恐怖故事一则,2289221,__毛毛毛__,511844821,87534,26.15,250.55,9136.8,0.1009,2217,"搞笑,游戏,熬夜,段子,通宵",0.0388,0.8717,0.4229,0.0,0.0174,,1,2025-07-09 18:48:49,0.3159
20,983432790,快转发给你爱熬夜的朋友,3713207,赵挣钱,1087278918,4273,868.99,105.07,35341.3,0.0598,2552,"#搞笑,搞笑新星训练营,搞笑新星训练营8.0",0.0163,1.0,0.2506,0.0,0.0937,,1,2022-07-13 22:17:59,0.3144
21,507234098,【科普】一天只睡四小时，多少天会死？？！！,4795874,潮杨汐客,62403292,11432,419.51,118.05,40626.4,0.051,24788,"知识分享官,冷知识,生命,大脑,科普,睡眠,熬夜,猝死,必剪创作",0.0183,1.0,0.2137,0.0,0.1518,,1,2021-12-05 17:12:05,0.3134
22,116334356600698,我终于不熬夜啦！！！,2735165,爱妖术的侄女,391385961,95943,28.51,1007.22,2715.6,0.029,484,"治愈,搞笑,vlog,出行,老戏骨,小孩",0.156,0.9503,0.1215,0.0,0.0413,,1,2026-04-03 08:00:00,0.3128
