排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
1,116448961829764,你可以熬夜，但第二天必须去做这些恢复。,7391197,心理能量1101,3493111189736293,442864,680808,86408,791140,31793,2017,9515,"心理学,熬夜,恢复,自我提升,长期熬夜",1.289,0.2124,0.107,16.6895,0.0043,0.1107,0.8895,1.0,0.0008,0.0992,2244.5,2026-04-22 23:06:31,0.4711
2,1800746052,求求你了！熬夜做了好几个晚上，让我通过吧！第70集P3所有隐藏剧情和细节彩蛋分析！,2907440,哇宝宝独一无二,316927624,69021,7109,1810,79769,19,280,97,隐藏剧情,11.4755,0.0306,0.0274,42.124,0.0,1.0,0.1219,0.2539,0.0021,0.0001,21337.23,2024-02-17 10:23:05,0.4315
3,426128202,熬夜密码！,3926306,樱桃小嘴巴114,458683,137061,317994,64524,343079,36426,906,3896,"冷知识,科普,涨姿势,生活,失眠,熬夜,生活常识,食补,必剪创作,全能分享站",1.2818,0.186,0.0874,28.6464,0.0093,0.11,0.7781,0.8157,0.0015,0.2139,37025.78,2022-05-04 17:49:00,0.4177
4,114591757507636,在深渊里起舞，在崩溃中举杯,2189145,尼采的胡子Nie,3546758353258863,1662865,347065,24086,147781,12077,950,2385,"哲学,发疯文学,放纵,熬夜,酒神精神",0.4952,0.2386,0.0675,1.3165,0.0055,0.0414,1.0,0.6294,0.0001,0.1272,10116.35,2025-05-29 23:13:06,0.4031
5,114856233540709,现代人精神内耗的解药,2127940,尼采的胡子Nie,3546758353258863,1662865,312163,29883,125140,15481,1828,3232,"哲学,抑郁,压力,熬夜,压抑,斯多葛主义,内耗",0.4966,0.2219,0.0588,1.2797,0.0073,0.0415,0.9297,0.5479,0.0001,0.1677,8969.57,2025-07-16 18:00:00,0.3733
6,729681023,【医学博士】熬夜到几点会猝死？I 请为自己看完这个视频,8696507,兔叭咯,7788379,8100559,751652,461953,312390,282432,36776,19057,"搞笑,死亡,健康,猝死,医学,心脏,沙雕,熬夜,万物研究所,万物研究所2022第二季",1.0302,0.1819,0.0359,1.0736,0.0325,0.0881,0.7607,0.3334,0.0,0.7487,34434.06,2022-08-20 17:30:00,0.3625
7,605519921,【医学博士】危急情况如何自救？I 这条视频关键时刻能救你一命,2205967,兔叭咯,7788379,8100559,233129,169058,90648,13404,6673,1813,"搞笑,健康,生命,窒息,猝死,沙雕,医学,急救,熬夜,万物研究所,万物研究所·2022第五期",1.114,0.2273,0.0411,0.2723,0.0061,0.0954,0.9522,0.3819,0.0,0.1401,32081.73,2022-11-26 17:52:41,0.3618
8,242569827,我最喜欢熬夜啦！,3886461,尤超白,383444910,929782,451379,242963,151155,51906,6712,6209,"熬夜,搞笑戏精",0.8731,0.2209,0.0389,4.18,0.0134,0.0744,0.9253,0.3612,0.0002,0.3079,55247.57,2020-04-05 12:00:52,0.3604
9,802511396,熬夜后该如何补救？熬夜方式不同，事后补救的方法也应该不同  -【冷却报告】,2110373,冷却报告,511148568,841555,136751,71448,113553,49678,4192,5122,"知识分享官,科普,通宵,补救,加班,熬夜,措施,轮班",1.3528,0.1569,0.0538,2.5077,0.0235,0.1162,0.655,0.501,0.0001,0.5427,46240.4,2021-04-15 19:10:28,0.3589
10,447831288,【睡眠科学】哪有什么熬夜不老？都是大脑透支在负重前行,3031099,王阿华的解忧平行宇宙,314021327,867206,210784,103705,167859,60570,6615,6618,"大脑,科普,知识,工作,失眠,睡眠,万物研究所,万物研究所·奖学金计划",1.2884,0.1635,0.0554,3.4952,0.02,0.1106,0.683,0.5158,0.0002,0.4607,25526.33,2023-08-26 21:14:36,0.3587
