排名,av_id,标题,播放量,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116851531056746,“穷人最大的托举，是不让苦难代代相传”,5310226,3546661399824534,0,0,10275.76,516.8,0.0082,0,1.0,0,0.034,0.25,0.1954,,1,2026-07-03 08:00:00,0.3638
2,116907348853497,穷人版五星级餐厅，这套餐有力气,2255525,1582757648,599329,3.76,7866.59,286.7,0.0945,20,0.7655,0.0001,0.3921,0.3333,0.0214,,1,2026-07-12 22:02:30,0.3603
3,116896477219134,【emo】“穷人最大的托举， 是不让苦难代代相传”【无损音质】【精选歌单】,2834414,1037625310,0,0,9696.32,292.3,0.004,0,0.9436,0,0.0166,0.3333,0.0544,,1,2026-07-12 16:30:00,0.3418
4,116787442223218,【Reaction】穷人永远接触不到的场景,4607950,300994119,4535128,1.02,5796.14,795.0,0.0643,3,0.5641,0.0,0.2668,0.1667,0.1554,,1,2026-06-21 17:45:06,0.2631
5,722311656,为什么美国的穷人害怕汉堡，却不多吃健康食品？,2911137,21480761,80,36389.21,71.94,40468.3,0.0038,0,0.007,1.0,0.0158,0.0,0.0587,,1,2021-12-11 16:29:39,0.2611
6,116809739082454,热搜上被群嘲的“穷人自助餐”事件，暴露出多少人可笑的优越感,3684191,30947486,1216647,3.03,5868.13,627.8,0.0237,3,0.5711,0.0001,0.0983,0.25,0.1028,,1,2026-06-28 16:55:00,0.2388
7,116610274759756,热搜上恶毒的“穷人碳水脸”事件，暴露了多少“精神有钱人”,7644402,30947486,1216647,6.28,5207.64,1467.9,0.0164,0,0.5068,0.0002,0.068,0.1667,0.3285,,1,2026-05-24 16:55:00,0.2235
8,115965962492483,“1.7元红烧肉盒饭”被挂上热搜，暴露出“穷人梗”背后的真相,16877618,30947486,1216647,13.87,3947.11,4275.9,0.0166,0,0.3841,0.0004,0.0689,0.0,0.8546,,1,2026-01-27 16:50:00,0.2146
9,116753266907936,在美国的穷人和富人，会被区别对待吗？我分别测试了一下,5052580,78021099,336663,15.01,5375.71,939.9,0.0174,3,0.5231,0.0004,0.0722,0.1667,0.1808,,1,2026-06-15 16:52:02,0.2146
10,522529818,我因批评数十万自称老奴的人被骂，但被骂再狠，我也不会删视频！【洞察社会系列85】,3347311,680677803,3835003,0.87,108.11,30963.3,0.241,3,0.0105,0.0,1.0,0.0,0.0836,,1,2023-01-11 17:30:00,0.2115
11,83908288,【半佛】买不起奢侈品就是穷人吗？不，是聪明人,10356778,37663924,0,0,181.36,57105.8,0.1874,0,0.0176,0,0.7776,0.0,0.483,,1,2020-01-18 11:00:48,0.2091
12,115881237550542,小某书上被群嘲的“穷人吃甜品”事件，炸出多少讨厌的“人上人”,16246100,30947486,1216647,13.35,3504.34,4636.0,0.0224,0,0.341,0.0004,0.0929,0.0,0.8186,,1,2026-01-12 16:47:48,0.2029
13,114380985340501,为什么要远离地雷女？日本精神小妹有多可怕。。【世界女子图鉴 #地雷妹】,19429319,6574487,4810071,4.04,1767.13,10994.9,0.0446,0,0.172,0.0001,0.1851,0.0,1.0,,1,2025-04-22 17:55:05,0.1886
14,412618844,疫情，正逼死美国穷人 | 剖析美国医保顽疾 + 中国制度自信,3497588,478269351,687320,5.09,63.25,55298.9,0.2097,20,0.0062,0.0001,0.8701,0.0,0.0922,,1,2020-04-02 17:53:07,0.1851
15,218415990,穷人是假的？农村人不可能长这样？我要用100个农民实证反驳【100个农民故事01】,3147865,680677803,3835003,0.82,93.81,33555.1,0.2062,20,0.0091,0.0,0.8556,0.0,0.0722,,1,2022-09-25 17:36:48,0.1811
16,734758016,数万人争着当奴才，疯狂给少爷送礼，这是时代的悲哀！【洞察社会系列84】,5054618,680677803,3835003,1.32,162.62,31083.3,0.145,0,0.0158,0.0,0.6017,0.0,0.1809,,1,2023-01-06 17:30:00,0.1432
17,463531861,【围炉夜话】为何我们如此贫穷？不只是缺钱那么简单。,3815117,79577853,4221146,0.9,90.98,41934.6,0.1537,3,0.0089,0.0,0.6378,0.0,0.1103,,1,2021-10-11 14:06:49,0.1412
18,511099604,介绍一条穷人跨越阶级的可行之路（保证干货，非鸡汤）,2128105,312098823,690515,3.08,57.27,37161.8,0.1627,3,0.0056,0.0001,0.6751,0.0,0.0141,,1,2022-04-28 11:00:00,0.1381
19,115954537205889,逆天！美国人推出杀人合法日？为控制人口不惜自相残杀，穷人成为了富人的猎物！悬疑惊悚电影《人类清除计划》,9944498,395991094,0,0,2299.25,4325.1,0.0224,0,0.2238,0,0.0929,0.0,0.4595,,1,2026-01-25 15:41:41,0.1317
20,478190104,鼠鼠很后悔，碰了穷人不配学的专业,3793144,2877695,535021,7.09,123.39,30741.0,0.135,3,0.012,0.0002,0.5602,0.0,0.109,,1,2023-01-20 23:45:40,0.1266
