排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116851531056746,“穷人最大的托举，是不让苦难代代相传”,5310226,醉心日推音乐,3546661399824534,490577,10.82,10275.76,516.8,0.0082,85,1.0,1.0,0.034,0.25,0.1954,,1,2026-07-03 08:00:00,0.6138
2,116896477219134,【emo】“穷人最大的托举， 是不让苦难代代相传”【无损音质】【精选歌单】,2834414,月隐霜林,1037625310,18071,156.85,9696.32,292.3,0.004,31,0.9436,1.0,0.0166,0.3333,0.0544,,1,2026-07-12 16:30:00,0.5918
3,115965962492483,“1.7元红烧肉盒饭”被挂上热搜，暴露出“穷人梗”背后的真相,16877618,小椰子专栏,30947486,1216647,13.87,3947.11,4275.9,0.0166,3378,0.3841,1.0,0.0689,0.0,0.8546,,1,2026-01-27 16:50:00,0.4645
4,116753266907936,在美国的穷人和富人，会被区别对待吗？我分别测试了一下,5052580,社恐呆里克,78021099,336663,15.01,5375.71,939.9,0.0174,2071,0.5231,1.0,0.0722,0.1667,0.1808,,1,2026-06-15 16:52:02,0.4645
5,116907348853497,穷人版五星级餐厅，这套餐有力气,2255525,印度老吃家,1582757648,599329,3.76,7866.59,286.7,0.0945,2864,0.7655,0.371,0.3921,0.3333,0.0214,,1,2026-07-12 22:02:30,0.453
6,115881237550542,小某书上被群嘲的“穷人吃甜品”事件，炸出多少讨厌的“人上人”,16246100,小椰子专栏,30947486,1216647,13.35,3504.34,4636.0,0.0224,13366,0.341,1.0,0.0929,0.0,0.8186,,1,2026-01-12 16:47:48,0.4528
7,116610274759756,热搜上恶毒的“穷人碳水脸”事件，暴露了多少“精神有钱人”,7644402,小椰子专栏,30947486,1216647,6.28,5207.64,1467.9,0.0164,6844,0.5068,0.6193,0.068,0.1667,0.3285,,1,2026-05-24 16:55:00,0.3783
8,71989023,你没穷过，你不懂,3013522,雷斯林raist,11269382,224943,13.4,50.87,59235.8,0.1398,14456,0.005,1.0,0.5801,0.0,0.0646,,1,2019-10-21 16:58:01,0.374
9,114024284953319,小崔对账 之 美国穷人的不得不吹,2184566,二哥他怕痒,3546717408463187,79799,27.38,174.67,12506.7,0.1361,2418,0.017,1.0,0.5647,0.0,0.0173,,1,2025-02-18 18:03:54,0.3698
10,116181264505579,有什么以前是穷人吃的食物，现在却变贵了？,8587999,行者道荣,3537118582278552,805520,10.66,2553.79,3362.8,0.0082,1798,0.2485,1.0,0.034,0.0,0.3822,,1,2026-03-06 18:00:00,0.3696
11,1903653030,避开“穷人肥”，欧美“富人瘦”的秘密竟然是这个，无痛瘦身我get了！,15347787,我只吃加臭螺蛳粉,398847389,14075,1090.43,777.61,19737.1,0.0192,345,0.0757,1.0,0.0797,0.0,0.7674,,1,2024-04-23 11:43:56,0.3654
12,114414388774388,中国的防傻子机制，最适合穷人，最照顾穷人！3月16日直播！,5587460,志新观天下,3546576853141536,437507,12.77,514.82,10853.3,0.0904,13834,0.0501,1.0,0.3751,0.0,0.2112,,1,2025-04-28 15:31:20,0.3612
13,431112076,余华：我从来不对抗盗版，因为中国人很多穷人,2478366,集墨成趣fighting,1448804405,13356,185.56,74.22,33394.1,0.1257,5147,0.0072,1.0,0.5216,0.0,0.0341,,1,2022-10-02 10:45:37,0.3599
14,46272912,穷人思维正在毁掉你！！《穷爸爸  富爸爸》,2399032,Akili-阿基利,383149002,33975,70.61,37.17,64535.3,0.1257,10023,0.0036,1.0,0.5216,0.0,0.0296,,1,2019-03-14 21:27:56,0.3584
15,241206324,让ChatGPT画穷人和富人的一生,3535097,AI筑梦师-,386231578,11725,301.5,159.23,22201.7,0.1111,3047,0.0155,1.0,0.461,0.0,0.0943,,1,2024-01-11 19:07:33,0.3563
16,587540627,《变形计》：富人游戏，穷人当真，却火了14年。,5334087,潘小美PrettyPan,454065593,470207,11.34,115.11,46340.0,0.0884,6219,0.0112,1.0,0.3668,0.0,0.1968,,1,2021-04-11 00:43:41,0.3464
17,116205440469865,很多大学把垃圾专业给穷人，张老师配享太庙,2748553,账号已注销,3493289978235628,151895,18.1,845.12,3252.2,0.0775,14109,0.0822,1.0,0.3216,0.0,0.0495,,1,2026-03-11 08:30:00,0.3439
18,516620641,穷人怎么变富？上海爷叔句句肺腑，短短一席话令人深思,4947157,魔都溜达,358434889,131557,37.6,149.41,33110.8,0.086,2844,0.0145,1.0,0.3568,0.0,0.1748,,1,2022-10-14 06:00:00,0.3432
19,115570741610236,一句“你瞧，他们在这里啦”，震撼了多少小学生…,6016088,李氏子蟠好古文,8168040,378162,15.91,1014.39,5930.8,0.0435,4224,0.0987,1.0,0.1805,0.0,0.2357,,1,2025-11-19 18:00:00,0.3393
20,113576870150455,到底怎么看出我是穷人的啊,9398712,莫明墉,1463419730,22278,421.88,652.54,14403.2,0.0204,7547,0.0635,1.0,0.0846,0.0,0.4284,,1,2024-12-01 17:32:57,0.3288
21,116503085258555,在古代，穷人有吃不完的“亲嘴烧”有多爽？,2344391,活汉,350167373,40505,57.88,1172.0,2000.3,0.0094,144,0.1141,1.0,0.039,0.1667,0.0264,,1,2026-05-02 12:28:29,0.3197
22,227913652,如果你有孩子，1680块的学习台灯你会给娃买吗？穷人少生一个孩子，资本家就少割一颗韭菜！,2659646,送你一匹马呵,87151248,6425,413.95,93.52,28438.9,0.0702,16766,0.0091,1.0,0.2913,0.0,0.0444,,1,2023-04-26 21:54:15,0.3154
23,116142827898430,早知道这些东西这么值钱，我就不扔了,5031170,靠譜的知识,60026287,143525,35.05,1433.45,3509.8,0.0056,6,0.1395,1.0,0.0232,0.0,0.1795,,1,2026-02-28 15:00:00,0.3145
24,116310398801419,挑战！有钱人穷人跑酷！最后我能成功破关吗！？,2223075,远哥玩游戏,1445312961,76567,29.03,789.16,2817.0,0.0466,3,0.0768,1.0,0.1934,0.0,0.0195,,1,2026-03-29 11:45:26,0.3137
25,116809739082454,热搜上被群嘲的“穷人自助餐”事件，暴露出多少人可笑的优越感,3684191,小椰子专栏,30947486,1216647,3.03,5868.13,627.8,0.0237,6585,0.5711,0.2985,0.0983,0.25,0.1028,,1,2026-06-28 16:55:00,0.3134
26,412618844,疫情，正逼死美国穷人 | 剖析美国医保顽疾 + 中国制度自信,3497588,极客队长GeekLead,478269351,687320,5.09,63.25,55298.9,0.2097,15319,0.0062,0.5016,0.8701,0.0,0.0922,,1,2020-04-02 17:53:07,0.3105
27,349834089,纽约大麻馆开业背后，是要用毒品消灭穷人！,2189049,秃头小超哥,441641543,77774,28.15,70.32,31130.6,0.0664,2947,0.0068,1.0,0.2755,0.0,0.0176,,1,2023-01-04 18:09:25,0.3089
28,116345630884389,民国时期穷人下馆子,2401292,小芳是80后,3546904612833412,34889,68.83,916.72,2619.4,0.0321,244,0.0892,1.0,0.1332,0.0,0.0297,,1,2026-04-06 17:20:00,0.3064
29,115852749838849,穷人拥有死士【B站AI创作大赛-开放赛道】,3887576,史界巡游官,201349470,219285,17.73,817.62,4754.8,0.0253,554,0.0796,1.0,0.105,0.0,0.1144,,1,2026-01-07 18:00:00,0.3063
30,116283756584256,在古代，穷人会说“嘎嘎滴辣虾”有多爽,2891548,活汉,350167373,40505,71.39,986.9,2929.9,0.0253,710,0.096,1.0,0.105,0.0,0.0576,,1,2026-03-24 18:49:54,0.3056
31,114238915876466,热搜上的青菜盒饭，成了底层人的真实写照，背后又是多少心酸,2310376,请君入此瓮,314415295,91324,25.3,199.96,11554.2,0.0554,4856,0.0195,1.0,0.2299,0.0,0.0245,,1,2025-03-30 10:30:00,0.3043
32,771114727,穷和富有本质差别，穷人变富太难了，北京西城大爷说出人们的心声,1891358,北京瑞姐,701223128,165011,11.46,53.74,35197.8,0.063,3285,0.0052,1.0,0.2614,0.0,0.0006,,1,2022-07-19 07:00:00,0.3039
33,561073115,#这个老人装穷人装了五十年。他连最亲密的人都不曾透露,8540819,科普知识馨儿,1569260737,953,8962.03,255.28,33456.5,0.009,154,0.0248,1.0,0.0373,0.0,0.3795,,1,2022-09-29 20:14:16,0.3029
34,1754634297,在日本穷人吃什么饭,2531259,小丁东京打工,3493092233578582,233550,10.84,131.65,19226.8,0.0528,1810,0.0128,1.0,0.2191,0.0,0.0371,,1,2024-05-14 17:56:39,0.3014
35,478190104,鼠鼠很后悔，碰了穷人不配学的专业,3793144,林耀钳,2877695,535021,7.09,123.39,30741.0,0.135,8158,0.012,0.6988,0.5602,0.0,0.109,,1,2023-01-20 23:45:40,0.3012
36,413257432,【张予曦】老娘天生妩媚妖艳｜这张脸演不了穷人｜真美艳小说女主脸！！！太美了！！,2109739,shhher,37409439,193100,10.93,39.02,54074.9,0.0566,2149,0.0038,1.0,0.2349,0.0,0.0131,,1,2020-05-23 17:55:47,0.2994
37,115118226545601,穷人买车一定要避坑的7个配置,2229396,康康说车,3493281178585090,5916,376.84,283.28,7870.0,0.0456,2006,0.0276,1.0,0.1892,0.0,0.0199,,1,2025-08-30 22:42:41,0.2981
38,115931888099192,在古代，穷人有只奶龙有多爽？,2886204,活汉,350167373,40505,71.26,652.79,4421.3,0.0274,1150,0.0635,1.0,0.1137,0.0,0.0573,,1,2026-01-21 15:26:27,0.2975
39,116236679711545,拜孔子为师，需要十条腊肉，穷人负担的起吗?,2489289,老高吃饱了,3461565925820508,13747,181.08,795.43,3129.5,0.0244,2214,0.0774,1.0,0.1012,0.0,0.0347,,1,2026-03-16 11:18:31,0.2969
