排名,note_id,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,6a180d9a00000000350320ae,你,58864,anvil.,5bf0038bda83a0000174b4f7,41.9,1405.0,1.0,483,"拍照姿势,来拍照了,拍照分享",1.0,1.0,0.1667,1.0,,1,2026-05-28 00:00:00,0.8333
2,6a16cc650000000007028470,我买了件很漂亮的泳衣～,23652,仓大佬,5e71f2eb0000000001005135,0.0,0.0,1.0,102,,0.0,1.0,1.0,0.3857,,1,,0.5579
3,69a93cef0000000015032c14,🐰 🐇🐱🐾🐈,16257,小岚同学,5833ec1f6a6a6956383b811f,17.57,925.1,1.0,332,"新中式拍照,森系氛围感,随地大小拍,我本无意入江南,作者",0.4193,1.0,0.1667,0.2567,,1,2026-06-17 00:00:00,0.5186
4,69b03e310000000015020d5f,蕾蕾的,18145,小亿,5a598dd8e8ac2b51c0b9a613,14.96,1213.0,1.0,221,"瘦,纯欲,随拍,对镜拍,白,双马尾,作者",0.357,1.0,0.1667,0.2896,,1,2026-06-05 00:00:00,0.5017
5,6a431d1c000000000f032c2b,,2091,颜财神✨,695fa0ad00000000140161a4,0.0,0.0,1.0,8,"本命英雄由我cos,个人魅力展现,二次元与现实,现实与二次元,当游戏人物走进现实,二次元,极品身材,你要怎么抵抗我,来一点小小的二次元震撼,二次元裂缝已打开",0.0,1.0,1.0,0.0095,,1,,0.5014
6,69fd7d36000000001a0377bf,没活就酒杯腿挑战,23819,宫本绘,5b3753fd4eacab72561a3805,11.47,2077.1,1.0,72,"鸣潮,鸣潮爱弥斯,鸣潮创作激励",0.2737,1.0,0.1667,0.3886,,1,2026-04-30 00:00:00,0.4874
7,69a3b4e30000000022033fd0,,22039,kilin_,620bb63b0000000010005241,11.69,1885.0,1.0,268,"cos,鸣潮,爱弥斯",0.279,1.0,0.1667,0.3575,,1,2026-05-08 00:00:00,0.4846
8,69db4bb6000000002301e26c,泰国普吉岛跟三亚海边一样…😭,7651,诗颖,5fae4172000000000100a988,7.0,1093.0,1.0,119,"正常穿搭无不良价值观,居家拍出氛围感",0.1671,1.0,0.1667,0.1065,,1,2026-06-10 00:00:00,0.4078
9,6a294f310000000035030942,来公园吸氧啦🍃,6124,你是彬彬吗,5d73d07b0000000001018c34,5.73,1069.1,1.0,152,"拿破仑摇,卡点舞",0.1368,1.0,0.1667,0.0799,,1,2026-06-11 00:00:00,0.3932
10,698c4b58000000000e03d8e2,左划看普通女大互勉拍照一年的变化～,14063,小斜,5f9416f70000000001004c38,4.26,3301.0,1.0,431,"甜妹治愈一切,少女感写真,日系少女,喜欢每一个有阳光的日子,阳光下的氛围感,泡在阳光里,阳光是最好的照片滤镜,少女的裙摆,地蕾係,青春的气息,作者",0.1017,1.0,0.0,0.2184,,1,2026-03-10 00:00:00,0.3683
11,6a17ee51000000003501fa34,芥末萌(｡ì _ í｡),3471,seo子,6045f7e20000000001007577,2.47,1405.0,1.0,63,"甜妹,甜妹穿搭,作者",0.0589,1.0,0.1667,0.0336,3756.67,2,2026-05-28 00:00:00,0.359
12,69f2dbc200000000350286ba,要和小爱一起去海边玩吗,1545,干饭妹筱筱,5bea9896168a600001243367,0.74,2077.0,1.0,3,"鸣潮,鸣潮爱弥斯,鸣潮创作激励",0.0177,1.0,0.1667,0.0,,1,2026-04-30 00:00:00,0.3395
13,69553298000000001d03ac4b,𝟐𝟎𝟐𝟓我的年度18图,9119,鲨鱼小莹,5e0c3e760000000001009471,1.84,4957.0,1.0,83,"分享图片,人生再也拍不出来的照片,新年快乐,作者",0.0439,1.0,0.0,0.1321,,1,2025-12-31 00:00:00,0.3352
14,6909fd140000000003037876,温柔姐姐,6749,鱼鱼酒,5db536610000000001005715,2.03,3325.1,1.0,73,"ariseism,作者",0.0484,1.0,0.0,0.0908,,1,2026-03-09 00:00:00,0.3306
15,6a28cfad000000002200998c,宅家拍点照、就爱这种轻松感～,2083,心静如水,6632f70c0000000003032007,0.94,2221.1,1.0,23,"永远没烦恼,日常,纯欲,可爱贴纸,作者",0.0224,1.0,0.0,0.0094,,1,2026-04-24 00:00:00,0.3093
16,69bd12a8000000001a0216ba,,2139,曹贼,610ca0ab0000000001000827,0.76,2821.1,1.0,7,"纯欲,瘦,随拍,白,双马尾,对镜拍,poetwong,作者",0.0181,1.0,0.0,0.0104,,1,2026-03-30 00:00:00,0.3079
17,69d47ec0000000001f0013a0,纯欲天花板,1934,一只小羊,699d1eb2000000002302c305,0.74,2629.0,1.0,7,"纯欲风,纯欲天花板",0.0177,1.0,0.0,0.0068,,1,2026-04-07 00:00:00,0.3072
18,6a22b03c000000003502a715,ᨳ͛⁠⁃ ⩊ ⁃ ഒ,2162,小山茶,5de255b50000000001006693,0.34,6325.1,1.0,95,,0.0081,1.0,0.0,0.0108,,1,2025-11-04 00:00:00,0.3045
19,6a4e4bb9000000001c02580b,꒰🎀⊹ ࣪ ˖ 𝓟𝓲𝓷𝓴 𝓓𝓲𝓪𝓻𝔂 ໒꒱,1546,鱼鱼酒,5db536610000000001005715,0.51,3037.1,1.0,15,,0.0122,1.0,0.0,0.0,,1,2026-03-21 00:00:00,0.3043
