排名,note_id,标题,互动量,作者,作者UID,点赞数,收藏数,评论数,分享数,标签,收藏率,互动密度,分享率,评论率,收藏得分,互动得分,分享得分,评论得分,笔记年龄(小时),发布时间,价值综合评分
1,69bd12a8000000001a0216ba,,2139,曹贼,610ca0ab0000000001000827,1363,769,7,0,"纯欲,瘦,随拍,白,双马尾,对镜拍,poetwong,作者",0.5642,1.0,0.0,0.0051,1.0,1.0,0,0.0914,2821.07,2026-03-30 00:00:00,0.7137
2,69f2dbc200000000350286ba,要和小爱一起去海边玩吗,1545,干饭妹筱筱,5bea9896168a600001243367,1056,486,3,0,"鸣潮,鸣潮爱弥斯,鸣潮创作激励",0.4602,1.0,0.0,0.0028,0.8157,1.0,0,0.0505,2077.03,2026-04-30 00:00:00,0.6339
3,69d47ec0000000001f0013a0,纯欲天花板,1934,一只小羊,699d1eb2000000002302c305,1342,585,7,0,"纯欲风,纯欲天花板",0.4359,1.0,0.0,0.0052,0.7726,1.0,0,0.0928,2629.03,2026-04-07 00:00:00,0.623
4,69db4bb6000000002301e26c,泰国普吉岛跟三亚海边一样…😭,7651,诗颖,5fae4172000000000100a988,5543,1989,119,0,"正常穿搭无不良价值观,居家拍出氛围感",0.3588,1.0,0.0,0.0215,0.636,1.0,0,0.3819,1093.05,2026-06-10 00:00:00,0.6117
5,6a22b03c000000003502a715,ᨳ͛⁠⁃ ⩊ ⁃ ഒ,2162,小山茶,5de255b50000000001006693,1690,377,95,0,,0.2231,1.0,0.0,0.0562,0.3954,1.0,0,1.0,6325.05,2025-11-04 00:00:00,0.6082
6,6a431d1c000000000f032c2b,,2091,颜财神✨,695fa0ad00000000140161a4,1498,585,8,0,"本命英雄由我cos,个人魅力展现,二次元与现实,现实与二次元,当游戏人物走进现实,二次元,极品身材,你要怎么抵抗我,来一点小小的二次元震撼,二次元裂缝已打开",0.3905,1.0,0.0,0.0053,0.6922,1.0,0,0.095,0,,0.5911
7,6a28cfad000000002200998c,宅家拍点照、就爱这种轻松感～,2083,心静如水,6632f70c0000000003032007,1539,521,23,0,"永远没烦恼,日常,纯欲,可爱贴纸,作者",0.3385,1.0,0.0,0.0149,0.6,1.0,0,0.2659,2221.06,2026-04-24 00:00:00,0.5799
8,69b03e310000000015020d5f,蕾蕾的,18145,小亿,5a598dd8e8ac2b51c0b9a613,13639,4285,221,0,"瘦,纯欲,随拍,对镜拍,白,双马尾,作者",0.3142,1.0,0.0,0.0162,0.5568,1.0,0,0.2883,1213.04,2026-06-05 00:00:00,0.566
9,698c4b58000000000e03d8e2,左划看普通女大互勉拍照一年的变化～,14063,小斜,5f9416f70000000001004c38,11168,2464,431,0,"甜妹治愈一切,少女感写真,日系少女,喜欢每一个有阳光的日子,阳光下的氛围感,泡在阳光里,阳光是最好的照片滤镜,少女的裙摆,地蕾係,青春的气息,作者",0.2206,1.0,0.0,0.0386,0.3911,1.0,0,0.6865,3301.04,2026-03-10 00:00:00,0.5594
10,69a93cef0000000015032c14,🐰 🐇🐱🐾🐈,16257,小岚同学,5833ec1f6a6a6956383b811f,12598,3327,332,0,"新中式拍照,森系氛围感,随地大小拍,我本无意入江南,作者",0.2641,1.0,0.0,0.0264,0.4681,1.0,0,0.4688,925.06,2026-06-17 00:00:00,0.5576
