排名,note_id,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,6a2d12c100000000350296e7,深圳是全国最好吃的城市,52604,suji,5d0ec71f000000001603f67d,0.0,0.0,1.0,997,,0.0,1.0,1.0,1.0,,1,,0.65
2,69eb4ba0000000003502757a,授人以渔：旅游时如何寻找local美食,37616,越吃越瘦,63d2394e0000000027034a18,0.0,0.0,1.0,1301,,0.0,1.0,1.0,0.7144,,1,,0.6072
3,6935998c000000001e00fabb,哇～真的好吃耶,32795,雲中大佬,565848304476085ee40b4933,0.0,0.0,1.0,2250,,0.0,1.0,1.0,0.6225,,1,,0.5934
4,6a521f73000000002100b8b8,来海底捞我劝你千万别学我这么吃‼️,32168,Jessico在大湾区,690b5cca0000000032017c15,0.0,0.0,1.0,51,,0.0,1.0,1.0,0.6106,,1,,0.5916
5,6a423ec6000000001603f57c,适合6月份吃的时令菜🥬简单、好做、好吃😋,15204,饼饼仙贝,698da495000000001d01854a,0.0,0.0,1.0,37,,0.0,1.0,1.0,0.2873,,1,,0.5431
6,6a17b7f40000000006036df6,🔥万能炒菜公式，炒菜不翻车！,13347,小陈美食日记,67f38809000000000e01e5ad,0.0,0.0,1.0,14,,0.0,1.0,1.0,0.2519,,1,,0.5378
7,6a205a660000000007026720,求推荐！！两只大肥猪马上抵达深圳,9339,Laurusldy,604998410000000001001a83,0.0,0.0,1.0,2544,,0.0,1.0,1.0,0.1755,,1,,0.5263
8,6835cc600000000021018940,深圳这个叫啥？？真好吃死了。。。😭😭,5267,很会吃就是了,618c7bb400000000100076a5,0.0,0.0,1.0,690,,0.0,1.0,1.0,0.0979,,1,,0.5147
9,696788ef000000001a032e93,深圳福田美食推荐,5152,跳跳，呀！,5c827f14000000001000239b,0.0,0.0,1.0,333,,0.0,1.0,1.0,0.0958,,1,,0.5144
10,6800cb6c000000001c0144fa,深圳最牛逼好吃的17家小店！（附店名合集）,4605,desson,5adac52011be10183457dde2,0.0,0.0,1.0,85,,0.0,1.0,1.0,0.0853,,1,,0.5128
11,6a2adeb300000000210156c1,深圳适合一人食的！！（12家合集,2012,每天都想吃,60ebb22c000000000100b4db,0.0,0.0,1.0,59,,0.0,1.0,1.0,0.0359,,1,,0.5054
12,6951f54b0000000022030f5d,感觉是深圳目前top1好吃的。。。。。。,1708,吃蛋不吃蛋黄,5b1559af11be1078433b7aa4,0.0,0.0,1.0,86,,0.0,1.0,1.0,0.0301,,1,,0.5045
13,69809621000000000c037546,深圳真的不缺好吃的小店,1630,肉肉吃不胖,5d39913a0000000012037d60,0.0,0.0,1.0,71,,0.0,1.0,1.0,0.0286,,1,,0.5043
14,6a33b69a000000001c027e7a,深圳个人觉得无法超越的店（附地址,1540,姐姐,59ca080844363b2f182099c8,0.0,0.0,1.0,5,,0.0,1.0,1.0,0.0269,,1,,0.504
15,6a39212b000000002103f991,感觉是目前深圳top好吃的！！！！,965,小俊Ljj99,5ce7680400000000110105bc,0.0,0.0,1.0,97,,0.0,1.0,1.0,0.016,,1,,0.5024
16,696233eb000000001a031c1c,前海科兴科学园对面的这个店子夯爆了,824,Minar Kotonoha,62121ac0000000002102a896,0.0,0.0,1.0,51,,0.0,1.0,1.0,0.0133,,1,,0.502
17,6978f046000000002102abc4,上川地铁附近美食,494,是语非雨,63566a96000000001802ba0f,0.0,0.0,1.0,30,,0.0,1.0,1.0,0.007,,1,,0.501
18,69eb535f0000000035039755,（慕名而来）确实是中山民间米其林。。。,373,圆脸小陈,5a805d2a11be10668fb15364,0.0,0.0,1.0,10,,0.0,1.0,1.0,0.0047,,1,,0.5007
19,6a62fdf6000000000e0342dc,为什么你腌的鸡蛋不出油？,127,小龙百科,67e12f8f000000000500f45f,0.0,0.0,1.0,0,,0.0,1.0,1.0,0.0,,1,,0.5
