排名,note_id,标题,互动量,作者,作者UID,点赞数,收藏数,评论数,分享数,标签,收藏率,互动密度,分享率,评论率,收藏得分,互动得分,分享得分,评论得分,笔记年龄(小时),发布时间,价值综合评分
1,6a205a660000000007026720,求推荐！！两只大肥猪马上抵达深圳,9339,Laurusldy,604998410000000001001a83,3295,3500,2544,0,,1.0622,1.0,0.0,0.7721,0.6688,1.0,0,1.0,0,,0.7175
2,6a521f73000000002100b8b8,来海底捞我劝你千万别学我这么吃‼️,32168,Jessico在大湾区,690b5cca0000000032017c15,12409,19708,51,0,,1.5882,1.0,0.0,0.0041,1.0,1.0,0,0.0053,0,,0.7008
3,696788ef000000001a032e93,深圳福田美食推荐,5152,跳跳，呀！,5c827f14000000001000239b,2097,2722,333,0,,1.298,1.0,0.0,0.1588,0.8173,1.0,0,0.2057,0,,0.6578
4,6a62fdf6000000000e0342dc,为什么你腌的鸡蛋不出油？,127,小龙百科,67e12f8f000000000500f45f,53,74,0,0,,1.3962,1.0,0.0,0.0,0.8791,1.0,0,0.0,0,,0.6516
5,6a39212b000000002103f991,感觉是目前深圳top好吃的！！！！,965,小俊Ljj99,5ce7680400000000110105bc,418,450,97,0,,1.0766,1.0,0.0,0.2321,0.6778,1.0,0,0.3006,0,,0.6162
6,6a2d12c100000000350296e7,深圳是全国最好吃的城市,52604,suji,5d0ec71f000000001603f67d,23931,27676,997,0,,1.1565,1.0,0.0,0.0417,0.7282,1.0,0,0.054,0,,0.5994
7,6a2adeb300000000210156c1,深圳适合一人食的！！（12家合集,2012,每天都想吃,60ebb22c000000000100b4db,918,1035,59,0,,1.1275,1.0,0.0,0.0643,0.7099,1.0,0,0.0832,0,,0.5964
8,6800cb6c000000001c0144fa,深圳最牛逼好吃的17家小店！（附店名合集）,4605,desson,5adac52011be10183457dde2,2132,2388,85,0,,1.1201,1.0,0.0,0.0399,0.7052,1.0,0,0.0516,0,,0.5898
9,6a33b69a000000001c027e7a,深圳个人觉得无法超越的店（附地址,1540,姐姐,59ca080844363b2f182099c8,719,816,5,0,,1.1349,1.0,0.0,0.007,0.7146,1.0,0,0.009,0,,0.5872
10,69eb4ba0000000003502757a,授人以渔：旅游时如何寻找local美食,37616,越吃越瘦,63d2394e0000000027034a18,18359,17956,1301,0,,0.978,1.0,0.0,0.0709,0.6158,1.0,0,0.0918,0,,0.5601
11,6a17b7f40000000006036df6,🔥万能炒菜公式，炒菜不翻车！,13347,小陈美食日记,67f38809000000000e01e5ad,6686,6647,14,0,,0.9942,1.0,0.0,0.0021,0.626,1.0,0,0.0027,0,,0.5508
12,6951f54b0000000022030f5d,感觉是深圳目前top1好吃的。。。。。。,1708,吃蛋不吃蛋黄,5b1559af11be1078433b7aa4,855,767,86,0,,0.8971,1.0,0.0,0.1006,0.5648,1.0,0,0.1303,0,,0.5455
13,696233eb000000001a031c1c,前海科兴科学园对面的这个店子夯爆了,824,Minar Kotonoha,62121ac0000000002102a896,416,357,51,0,,0.8582,1.0,0.0,0.1226,0.5403,1.0,0,0.1588,0,,0.54
14,69809621000000000c037546,深圳真的不缺好吃的小店,1630,肉肉吃不胖,5d39913a0000000012037d60,828,731,71,0,,0.8829,1.0,0.0,0.0857,0.5559,1.0,0,0.1111,0,,0.539
15,6978f046000000002102abc4,上川地铁附近美食,494,是语非雨,63566a96000000001802ba0f,258,206,30,0,,0.7984,1.0,0.0,0.1163,0.5027,1.0,0,0.1506,0,,0.5237
16,69eb535f0000000035039755,（慕名而来）确实是中山民间米其林。。。,373,圆脸小陈,5a805d2a11be10668fb15364,212,151,10,0,,0.7123,1.0,0.0,0.0472,0.4485,1.0,0,0.0611,0,,0.4886
17,6a423ec6000000001603f57c,适合6月份吃的时令菜🥬简单、好做、好吃😋,15204,饼饼仙贝,698da495000000001d01854a,8747,6420,37,0,,0.734,1.0,0.0,0.0042,0.4621,1.0,0,0.0055,0,,0.4857
18,6835cc600000000021018940,深圳这个叫啥？？真好吃死了。。。😭😭,5267,很会吃就是了,618c7bb400000000100076a5,3029,1548,690,0,,0.5111,1.0,0.0,0.2278,0.3218,1.0,0,0.295,0,,0.473
19,6935998c000000001e00fabb,哇～真的好吃耶,32795,雲中大佬,565848304476085ee40b4933,25098,5447,2250,0,,0.217,1.0,0.0,0.0896,0.1367,1.0,0,0.1161,0,,0.3721
