排名,note_id,标题,互动量,作者,作者UID,粉丝数,粉丝转化率,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,转化得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,686e464b0000000010025871,,57184,瑞瑞狸,6404405e000000001001e5e6,0,0,0.0,0.0,0.0,544,,0.0,0,0.0,1.0,1.0,,1,,0.25
2,684fdfad0000000022026588,一定要抓住最后十年的上升通道契机,27835,湾区自由人,60b5ebea000000000100961b,0,0,0.0,0.0,0.0,756,,0.0,0,0.0,1.0,0.4867,,1,,0.1987
3,69f07a9b000000003603013a,真正能跨越阶级的人，是没有状态洁癖的,27750,喻小丢,6224bacc000000001000b37f,0,0,0.0,0.0,0.0,262,,0.0,0,0.0,1.0,0.4852,,1,,0.1985
4,6a1e9c70000000000602247e,如何从【工薪层】跨越到【大中产】？,24032,行者,59c126f351783a3b0b4ff5b9,0,0,0.0,0.0,0.0,339,,0.0,0,0.0,1.0,0.4202,,1,,0.192
5,67a781ab0000000018013625,Deepseek秒杀了大多数成长类博主,20637,王老板唯一小助理,66d54acf000000001d0206f2,0,0,0.0,0.0,0.0,210,,0.0,0,0.0,1.0,0.3608,,1,,0.1861
6,69f99568000000003601c531,,15558,zoe,622416800000000010006ad5,0,0,0.0,0.0,0.0,606,,0.0,0,0.0,1.0,0.272,,1,,0.1772
7,69b0615300000000150319a7,,12611,冰言冰语的号,55fb4b28b7ba220af8738985,0,0,0.0,0.0,0.0,154,,0.0,0,0.0,1.0,0.2204,,1,,0.172
8,67c89817000000002901f0ec,年轻人过早三观闭合，就会亲手粉碎跨越阶层,11338,解忧代码,634d2bf6000000001901e9a5,0,0,0.0,0.0,0.0,76,,0.0,0,0.0,1.0,0.1982,,1,,0.1698
9,67ee209d000000000900fef3,普通人跨越阶层的两个机会，再不把握就没了,4786,刘乔航（刘少）,620523ce0000000021020d15,0,0,0.0,0.0,0.0,101,,0.0,0,0.0,1.0,0.0836,,1,,0.1584
10,69c7dcd8000000001a033d88,建议年轻人尽早认清【跨越阶层的真相】,4284,昊吃的纸哥,5c11e47b44363b5e471bab32,0,0,0.0,0.0,0.0,36,,0.0,0,0.0,1.0,0.0748,,1,,0.1575
11,679c2bc200000000290145ea,满脑子想要创业跨越阶级的17岁,4275,景道,5f12e2f3000000000101f55a,0,0,0.0,0.0,0.0,233,,0.0,0,0.0,1.0,0.0746,,1,,0.1575
12,690489990000000005000bcd,,3914,智者修心+,682436c6000000000d009366,0,0,0.0,0.0,0.0,29,,0.0,0,0.0,1.0,0.0683,,1,,0.1568
13,6827621e000000001101f7d4,,1875,Jack要充电,602133080000000001009854,0,0,0.0,0.0,0.0,35,,0.0,0,0.0,1.0,0.0327,,1,,0.1533
14,6901126e0000000007034f2b,读100遍就能明白如何完成阶级跨越的布局,1870,和D老师一起财富自由,5b62948e23fa000001d786ab,0,0,0.0,0.0,0.0,26,,0.0,0,0.0,1.0,0.0326,,1,,0.1533
15,6a59954c000000001c00f2aa,,1753,趋势煜言,67a88cbc000000000a03d766,0,0,0.0,0.0,0.0,40,,0.0,0,0.0,1.0,0.0305,,1,,0.1531
16,689e8f4d000000001d003db1,读哈佛/MIT等名校能否实现阶级跨越？,1724,西门Simon,612ea51e0000000002025e8f,0,0,0.0,0.0,0.0,149,,0.0,0,0.0,1.0,0.03,,1,,0.153
17,69f9d226000000003601fb1e,跨越阶层,1449,我就是那个Leo,673c13d6000000001d02e7b7,0,0,0.0,0.0,0.0,197,,0.0,0,0.0,1.0,0.0252,,1,,0.1525
18,69b3bc1c00000000200381fa,,1155,Gz,6918c93c000000003702e7e0,0,0,0.0,0.0,0.0,271,,0.0,0,0.0,1.0,0.0201,,1,,0.152
19,6962eb69000000001a0287d7,中国社会的9个阶层,1132,逆袭姐人性思维,5c3e0a1e000000000700c2a0,0,0,0.0,0.0,0.0,52,,0.0,0,0.0,1.0,0.0197,,1,,0.152
20,6a37ed950000000022019423,拼命的透支自己想要阶级跃迁,1093,浮生若梦,643e5f4b000000002a0091a8,0,0,0.0,0.0,0.0,89,,0.0,0,0.0,1.0,0.019,,1,,0.1519
21,6a5cdf650000000001031e50,,924,小灿姐,57c0250582ec393fa2896807,0,0,0.0,0.0,0.0,8,,0.0,0,0.0,1.0,0.016,,1,,0.1516
22,68b6c7f8000000001d00f508,期权才是普通人实现阶级跨越的最好方式,794,dd睡不醒,5be8042c34e90900010c2acb,0,0,0.0,0.0,0.0,128,,0.0,0,0.0,1.0,0.0137,,1,,0.1514
23,69747c1d000000001a01fcef,没根基没人脉，普通人如何从底层拼出来？,686,老王言商,6811f49900000000180268b0,0,0,0.0,0.0,0.0,3,,0.0,0,0.0,1.0,0.0119,,1,,0.1512
24,6a54969a000000000f004103,如何找到阶层跨越的通道,511,赵玉平老师讲国学,662f7912000000001c00123b,0,0,0.0,0.0,0.0,11,,0.0,0,0.0,1.0,0.0088,,1,,0.1509
25,6a5cecd0000000001101939d,靠编程跨越阶级已经不可能了,30,大明AI企业赋能,6704d18a000000001d032af5,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,0.0004,,1,,0.15
26,6a637576000000000f0053a1,,27,潜营生财录,69b612b0000000003302af5d,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,0.0003,,1,,0.15
27,6a62c19b000000000f0077f8,什么才是真正的阶级跨越？,9,认知觉醒笔记,58c6689a50c4b417582afc8e,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,0.0,,1,,0.15
28,6a63219d000000002201bd10,跨越阶层的事，留给我儿子去做吧,8,亚隆的视频播客,600fa0c90000000001007654,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,0.0,,1,,0.15
29,6a632d03000000000402b024,跨越阶层的机会，你必须带着止损去冒险,0,宝石论期,64c65215000000002b0083eb,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,-0.0001,,1,,0.15
30,08c044aa-d22e-4cb9-a827-fc757dc158af#1784927111717,,0,,,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,-0.0001,,1,,0.15
31,74fe0c0a-b3fe-4265-8da2-d28ca5ed6d04#1784927124298,,0,,,0,0,0.0,0.0,0.0,0,,0.0,0,0.0,1.0,-0.0001,,1,,0.15
