排名,note_id,分享链接,标题,互动量,作者,作者UID,互动速率(次/小时),笔记年龄(小时),互动密度,评论数,标签,速率得分,互动得分,新鲜度得分,互动量得分,历史增长%,数据点数量,发布时间,综合评分
1,6a021e33000000000802710c,https://www.xiaohongshu.com/explore/6a021e33000000000802710c,毕业不工作在家的一些思想转变,19069,今晚回家吃饭吗,6a0193710000000002000003,10.65,1791.0,0.0153,291,"毕业生对未来很迷茫,一些奇奇怪怪的想法,乱七八糟的想法,工作之后的我,无聊中找点事情做,突发奇想的感慨,作者",1.0,0.0354,0.1667,0.5359,,1,2026-05-12 00:00:00,0.4743
2,6a160d64000000000702ef68,https://www.xiaohongshu.com/explore/6a160d64000000000702ef68,毕业后，在出租屋躺了大半年,12704,今日Kyou,6550e5e200000000020118e8,9.03,1407.0,0.1304,1656,"回到出租屋,即将毕业的压力,毕业后的人生旷野,毕业两年的状态,作者",0.8479,0.3026,0.1667,0.3563,,1,2026-05-28 00:00:00,0.4743
3,685aad67000000002203dab7,https://www.xiaohongshu.com/explore/685aad67000000002203dab7,写小说财富自由后，人生有些迷茫,18965,写小说的兔叽（德国受苦版）,6562277500000000020297d8,0.0,0.0,0.1698,3221,,0.0,0.3943,1.0,0.5329,,1,,0.3982
4,6a49421e0000000011013ebb,https://www.xiaohongshu.com/explore/6a49421e0000000011013ebb,在日本呆不下去了,1119,jeii,6a197bc30000000002002400,1.24,903.1,0.4307,482,"大学生,硬件,硬件工程师,pcb,工科,作者",0.1164,1.0,0.1667,0.0295,,1,2026-06-18 00:00:00,0.3785
5,69a538ae0000000022032052,https://www.xiaohongshu.com/explore/69a538ae0000000022032052,建议大家低谷期的时候有点钱就该去穷游,9308,仓鼠飞轮,6550e5e200000000020118e8,6.62,1407.0,0.093,866,"回到出租屋,即将毕业的压力,毕业后的人生旷野,毕业两年的状态,作者",0.6216,0.216,0.1667,0.2605,,1,2026-05-28 00:00:00,0.3548
6,69f5c326000000003502a295,https://www.xiaohongshu.com/explore/69f5c326000000003502a295,干了六年的硬件工程师，越来越迷茫了,2156,硬件物语,693e9e770000000037009303,0.0,0.0,0.1948,420,"女性成长,自由职业者,张骏,自我价值,自媒体,作者",0.0,0.4523,1.0,0.0588,,1,,0.3445
7,6a4cf163000000001603df92,https://www.xiaohongshu.com/explore/6a4cf163000000001603df92,27岁女教师裸辞转行无果🙃,3353,很OK呀,5bb36503f7e8b9552d753914,0.0,0.0,0.1724,578,"裸辞,教师转行,工作迷茫中,作者",0.0,0.4002,1.0,0.0925,,1,,0.3339
8,6a58c8b1000000001d020c14,https://www.xiaohongshu.com/explore/6a58c8b1000000001d020c14,青旅里住满了绝望的，找不到工作的年轻人。,3084,林下风,5b176c1ee8ac2b05c15a9266,0.0,0.0,0.1605,495,"苏州旅居,青旅日常,当代年轻人就业现状,30岁人生,低谷期,在外漂泊的人,找工作,绝望瞬间,失业,生活随笔,作者",0.0,0.3726,1.0,0.085,,1,,0.3245
9,6a56720c000000000702cd88,https://www.xiaohongshu.com/explore/6a56720c000000000702cd88,26岁，已平静接纳自己就是个废物,1112,前方允许停留,66966cbf000000000b033500,0.0,0.0,0.1565,174,"日本,留学,作者",0.0,0.3633,1.0,0.0293,,1,,0.3134
10,68816197000000000d025fbb,https://www.xiaohongshu.com/explore/68816197000000000d025fbb,真的很迷茫,72,红薯,5ab364d2e8ac2b01445c5d52,0.05,1383.1,0.3611,26,"infp,天秤座,设计师转行出路,工作迷茫中,作者",0.0047,0.8383,0.1667,0.0,,1,2026-05-29 00:00:00,0.2865
11,6a190a87000000000603248d,https://www.xiaohongshu.com/explore/6a190a87000000000603248d,31岁设计离职 到底转什么职业（不靠谱版,2322,张十一,631041ac000000000f0054c8,0.26,8799.1,0.3807,884,此时此刻的心情,0.0244,0.8838,0.0,0.0635,,1,2025-07-24 00:00:00,0.2832
12,683c7739000000000c03b177,https://www.xiaohongshu.com/explore/683c7739000000000c03b177,这个博主真的说到我心坎里去了！！！,35524,Mg。,6792506f0000000007003dd5,3.53,10071.0,0.0062,220,"希望大家认真看,并且有自己的见解,讨论,深度思考,观点分享,职业价值观,作者",0.3315,0.0144,0.0,1.0,,1,2025-06-01 00:00:00,0.2703
13,6a1a7bf40000000035025b4d,https://www.xiaohongshu.com/explore/6a1a7bf40000000035025b4d,建议所有人不要在迷茫的时候算命,312,淋淋🐻｜小心熊,6697906f000000000303319b,0.03,9471.1,0.3558,111,"网文作者,写小说,晋江签约,全职作者,小说写作灵感,晋江小说,晋江作者,写作赚钱,写网文,我的写作日常,作者",0.0028,0.8259,0.0,0.0068,,1,2025-06-26 00:00:00,0.2498
14,6a2a448c00000000070134e0,https://www.xiaohongshu.com/explore/6a2a448c00000000070134e0,教培人的迷茫,895,johnwick,5f05ab910000000001000b0c,0.84,1071.0,0.2615,234,作者,0.0789,0.607,0.1667,0.0232,0.0,2,2026-06-11 00:00:00,0.2465
15,69d47f5f0000000020038e77,https://www.xiaohongshu.com/explore/69d47f5f0000000020038e77,29岁的人生低谷想听听姐姐们的建议,9165,YakultM,640938f20000000014013a0a,3.48,2631.1,0.1194,1094,"人生建议,致迷茫的当代年轻人,想改变现状,人生低谷熬过去,作者",0.3268,0.2771,0.0,0.2565,,1,2026-04-07 00:00:00,0.236
16,6a0e7d920000000037034283,https://www.xiaohongshu.com/explore/6a0e7d920000000037034283,我感觉我已经找不到工作了,1620,亨利怎么了,5c8254d90000000016036570,0.3,5391.1,0.287,465,"成长感悟,女性成长,时间的齿轮开始转动,我的人生vlog,变化,人对时间毫无还手之力,作者",0.0282,0.6664,0.0,0.0437,,1,2025-12-13 00:00:00,0.2163
17,69afd2950000000022022b57,https://www.xiaohongshu.com/explore/69afd2950000000022022b57,求助贴：985小废物毕业迷茫了6年还在迷茫,6546,Amore,60766533000000000100b7c6,1.98,3303.0,0.15,982,作者,0.1859,0.3483,0.0,0.1826,,1,2026-03-10 00:00:00,0.1969
18,6a53ca73000000000603277c,https://www.xiaohongshu.com/explore/6a53ca73000000000603277c,每个想做自媒体的人，都该先听完张骏这段话,6348,言究这个时代,65abedcc000000000d01ea52,4.03,1575.1,0.0046,29,"工作迷茫中,我的找工作日记,我需要工作",0.3784,0.0106,0.1667,0.177,,1,2026-05-21 00:00:00,0.1955
19,695e2d60000000001a02f145,https://www.xiaohongshu.com/explore/695e2d60000000001a02f145,,2032,滔涛韬,6746e6b100000000010010d9,1.5,1359.1,0.0827,168,"个人成长,观点分享,女性成长,大学生,焦虑,认知觉醒,迷茫,拒绝内耗,被讨厌的勇气,20岁,作者",0.1408,0.1919,0.1667,0.0553,,1,2026-05-30 00:00:00,0.1485
