排名,note_id,分享链接,标题,互动量,作者,作者UID,点赞数,收藏数,评论数,标签,收藏率,互动密度,评论率,收藏得分,互动得分,评论得分,笔记年龄(小时),发布时间,价值综合评分
1,683c7739000000000c03b177,https://www.xiaohongshu.com/explore/683c7739000000000c03b177,这个博主真的说到我心坎里去了！！！,35524,Mg。,6792506f0000000007003dd5,18279,17025,220,"希望大家认真看,并且有自己的见解,讨论,深度思考,观点分享,职业价值观,作者",0.9314,0.4793,0.012,1.0,1.0,0.0124,10071.04,2025-06-01 00:00:00,0.7037
2,69afd2950000000022022b57,https://www.xiaohongshu.com/explore/69afd2950000000022022b57,求助贴：985小废物毕业迷茫了6年还在迷茫,6546,Amore,60766533000000000100b7c6,3211,2353,982,作者,0.7328,0.3595,0.3058,0.7868,0.75,0.3141,3303.03,2026-03-10 00:00:00,0.6339
3,69d47f5f0000000020038e77,https://www.xiaohongshu.com/explore/69d47f5f0000000020038e77,29岁的人生低谷想听听姐姐们的建议,9165,YakultM,640938f20000000014013a0a,4693,3378,1094,"人生建议,致迷茫的当代年轻人,想改变现状,人生低谷熬过去,作者",0.7198,0.3686,0.2331,0.7728,0.7691,0.2394,2631.07,2026-04-07 00:00:00,0.6117
4,6a2a448c00000000070134e0,https://www.xiaohongshu.com/explore/6a2a448c00000000070134e0,教培人的迷茫,895,johnwick,5f05ab910000000001000b0c,423,238,234,作者,0.5626,0.2659,0.5532,0.6041,0.5549,0.5681,1071.02,2026-06-11 00:00:00,0.5785
5,6a190a87000000000603248d,https://www.xiaohongshu.com/explore/6a190a87000000000603248d,31岁设计离职 到底转什么职业（不靠谱版,2322,张十一,631041ac000000000f0054c8,1062,376,884,此时此刻的心情,0.354,0.1619,0.8324,0.3801,0.3379,0.8548,8799.06,2025-07-24 00:00:00,0.5099
6,6a49421e0000000011013ebb,https://www.xiaohongshu.com/explore/6a49421e0000000011013ebb,在日本呆不下去了,1119,jeii,6a197bc30000000002002400,495,142,482,"大学生,硬件,硬件工程师,pcb,工科,作者",0.2869,0.1269,0.9737,0.308,0.2648,1.0,903.06,2026-06-18 00:00:00,0.5026
7,69f5c326000000003502a295,https://www.xiaohongshu.com/explore/69f5c326000000003502a295,干了六年的硬件工程师，越来越迷茫了,2156,硬件物语,693e9e770000000037009303,1163,573,420,"女性成长,自由职业者,张骏,自我价值,自媒体,作者",0.4927,0.2658,0.3611,0.529,0.5545,0.3709,0,,0.4892
8,6a4cf163000000001603df92,https://www.xiaohongshu.com/explore/6a4cf163000000001603df92,27岁女教师裸辞转行无果🙃,3353,很OK呀,5bb36503f7e8b9552d753914,1844,931,578,"裸辞,教师转行,工作迷茫中,作者",0.5049,0.2777,0.3134,0.5421,0.5794,0.3219,0,,0.4872
9,6a53ca73000000000603277c,https://www.xiaohongshu.com/explore/6a53ca73000000000603277c,每个想做自媒体的人，都该先听完张骏这段话,6348,言究这个时代,65abedcc000000000d01ea52,4010,2309,29,"工作迷茫中,我的找工作日记,我需要工作",0.5758,0.3637,0.0072,0.6182,0.759,0.0074,1575.09,2026-05-21 00:00:00,0.4772
10,68816197000000000d025fbb,https://www.xiaohongshu.com/explore/68816197000000000d025fbb,真的很迷茫,72,红薯,5ab364d2e8ac2b01445c5d52,35,11,26,"infp,天秤座,设计师转行出路,工作迷茫中,作者",0.3143,0.1528,0.7429,0.3374,0.3188,0.7629,1383.06,2026-05-29 00:00:00,0.4595
11,6a160d64000000000702ef68,https://www.xiaohongshu.com/explore/6a160d64000000000702ef68,毕业后，在出租屋躺了大半年,12704,今日Kyou,6550e5e200000000020118e8,7817,3231,1656,"回到出租屋,即将毕业的压力,毕业后的人生旷野,毕业两年的状态,作者",0.4133,0.2543,0.2118,0.4438,0.5307,0.2176,1407.03,2026-05-28 00:00:00,0.402
