排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116884749948438,《触不可及》根据真人真事改编，120万人无一差评！笑中带泪的真挚友谊，跨越阶级的灵魂救赎！,226079,二中影视,307310886,19266,11.73,587.12,385.1,0.0152,1,1.0,1.0,0.0482,0.25,0.0621,,1,2026-07-08 22:14:20,0.6033
2,116300818943196,依旧是21岁学历一般长得还行的女大，妄图直接跨越阶级实现一夜暴富，在车库找到库里南留的电话直接致电这一块,1127589,香蕉大亨大G,198476348,29202,38.61,394.68,2857.0,0.0536,4050,0.6722,1.0,0.1699,0.0,0.5851,,1,2026-03-27 22:18:00,0.5442
3,116595141713778,“末世确实对普通人来说是一个阶级跨越的好机会”《辐射》 世末日200年后，一位来自舒适的辐射避难所的和平居民被迫返回地面，并震惊地发现等待着她的！,503636,小文最爱看电影,3546976853429085,18430,27.33,312.31,1612.6,0.0247,0,0.5319,1.0,0.0783,0.1667,0.2231,,1,2026-05-18 18:40:04,0.4725
4,115014375579464,一个跨越阶级但没有背叛阶级的人,921542,陈三浮,401143379,1617,569.91,110.86,8312.8,0.1862,4756,0.1888,1.0,0.5902,0.0,0.4655,,1,2025-08-12 14:30:01,0.4712
5,112972051647137,别傻了！靠技能不可能跨越阶级！,140138,小军师M姐,32265046,164206,0.85,8.26,16969.3,0.3155,440,0.0141,1.0,1.0,0.0,0.0122,,1,2024-08-16 22:02:33,0.4554
6,113201178025729,34岁不婚无娃英国留学之“阶级跨越”！！！,1272915,衣老板呀,1046038772,154440,8.24,79.57,15998.1,0.106,1327,0.1355,1.0,0.336,0.0,0.6694,,1,2024-09-26 09:10:18,0.4248
7,113090465107724,跨越种族和阶级的友情，无数次戳中泪点的电影，美版《触不可及》,1842866,椰球讲电影,36250384,15953,115.52,111.91,16467.4,0.0097,35,0.1906,1.0,0.0307,0.0,1.0,,1,2024-09-06 19:53:44,0.4133
8,115553176000337,普通人跨越阶级有多难。。,375429,王二狗也,366098592,530517,0.71,62.27,6029.1,0.1782,1928,0.1061,1.0,0.5648,0.0,0.1487,,1,2025-11-15 18:14:49,0.4097
9,113655907684572,人性潜规则,1074205,一风小说推荐,1189935282,3470,309.57,76.39,14061.7,0.0947,5,0.1301,1.0,0.3002,0.0,0.5541,,1,2024-12-16 01:37:11,0.4045
10,113918907256549,“一通跨越阶级的电话”感受一下nfl选秀大会球员被选中后的反应,976569,美式变向,662685801,1457,670.26,75.38,12956.0,0.1041,912,0.1284,1.0,0.33,0.0,0.4975,,1,2025-01-31 03:20:29,0.4043
11,366419122,“日本干1天等于中国10个月”，中国底层赴日打黑工，15年阶级跨越！成为数百万日本人偶像,1612965,观察者Q先生,517507881,411779,3.92,69.2,23309.1,0.0397,6300,0.1179,1.0,0.1258,0.0,0.8666,,1,2023-11-26 18:15:05,0.3972
12,681084087,穷小子捡来一身制服，冒充交警上街开罚单，实现了阶级跨越#影视剪辑#,1672516,木子杉影视,570092666,33263,50.28,42.59,39270.3,0.0516,903,0.0725,1.0,0.1635,0.0,0.9012,,1,2022-01-30 17:00:18,0.3946
13,409187894,抱住大腿,162123,狄会长,2048557551,40472,4.01,6.99,23181.5,0.2144,118,0.0119,1.0,0.6796,0.0,0.025,,1,2023-12-02 01:47:02,0.392
