排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
1,113655907684572,人性潜规则,1074205,一风小说推荐,1189935282,3470,8051,2736,90887,9,1,5,11.6287,0.0947,0.0846,309.5692,0.0,1.0,0.2953,0.6763,0.1358,0.0007,14061.69,2024-12-16 01:37:11,0.5728
2,112972051647137,别傻了！靠技能不可能跨越阶级！,140138,小军师M姐,32265046,164206,25195,964,17522,681,86,440,0.7337,0.3155,0.125,0.8534,0.0049,0.062,1.0,1.0,0.0003,0.4241,16969.26,2024-08-16 22:02:33,0.5141
3,880627997,做自媒体真的很赚钱！,133254,关子雎州,3493258283977540,110151,10987,1132,14169,643,12,115,1.3926,0.1982,0.1063,1.2097,0.0048,0.1187,0.6259,0.8503,0.0005,0.4212,22399.09,2024-01-03 16:12:52,0.4102
4,1605407194,跨越阶级需要吃很多的“苦”,68867,一天一悟-修心圣贤,522705020,126342,8321,342,6622,345,15,100,0.8369,0.2236,0.0962,0.5451,0.005,0.0709,0.7069,0.7688,0.0002,0.4373,18676.58,2024-06-06 20:32:14,0.399
5,622106237,【自制sub】☆30min后收到一笔转账☆招金体质+短时暴富+阶级跨越+享受一切好的资源☆,77509,虾尾灵灵酥饼,479665709,56007,13311,3481,4700,101,625,535,0.6146,0.2922,0.0606,1.3839,0.0013,0.0517,0.9259,0.4844,0.0006,0.1137,22936.53,2023-12-12 08:35:22,0.3579
6,522788095,【导演戎震】穷人家的孩子还想跨越阶级？读这几本书就对了,69795,戎哥的腿毛,3493115308542759,10072,7666,611,5839,293,22,147,0.8414,0.2047,0.0837,6.9296,0.0042,0.0712,0.6464,0.6687,0.003,0.3664,30916.45,2023-01-13 20:39:50,0.3572
7,113853861986726,真实操方法！普通人能财富自由吗？十年经验&万字详解！,405012,行长王德发,1053088039,651345,19756,11664,23289,4245,733,1107,1.7692,0.1396,0.0575,0.6218,0.0105,0.1511,0.4388,0.4593,0.0002,0.9148,13231.56,2025-01-19 15:45:06,0.346
8,113832856980576,实战篇！怎么白手起家，从1万到100万再到1000万,355195,行长王德发,1053088039,651345,18166,10343,24746,2150,709,1320,1.9316,0.1556,0.0697,0.5453,0.0061,0.1651,0.49,0.5567,0.0002,0.5283,13320.58,2025-01-15 22:43:45,0.3445
9,113883792547644,你是通过什么，实现阶级跨越，这波高维传讯实用极了！！！！,81549,甜訫数易疗愈3111,3537111204498298,36904,7224,4900,3795,275,1811,531,1.2036,0.2239,0.0465,2.2098,0.0034,0.1024,0.7079,0.3715,0.0009,0.2943,13106.6,2025-01-24 22:31:16,0.3166
10,115790925864605,【sub】ug 3500+ 极度奢华丨财富自由丨轻松跨越阶级,85096,_BoN1iL,3546605877725569,74579,4063,2847,6061,43,136,220,2.1925,0.1566,0.0712,1.141,0.0005,0.1876,0.493,0.5692,0.0005,0.0441,5023.14,2025-12-27 17:58:46,0.3072
11,517426923,【十年老社畜】2句话聊透 打工人逆袭的本质,86147,伟哥吃吃喝喝,519357512,198958,9570,1408,2780,987,96,232,0.4376,0.1635,0.0323,0.433,0.0115,0.0365,0.5151,0.2573,0.0002,1.0,32521.37,2022-11-07 23:44:25,0.293
12,115932626227011,dj脸权威到闺蜜怀疑你整容 金主团富婆团通通齐上阵  实现阶级的跨越,162649,蛋soIo粥,3546682000148835,77300,8998,9206,9316,81,10,228,2.0585,0.1707,0.0573,2.1041,0.0005,0.176,0.5379,0.4575,0.0009,0.0435,4417.72,2026-01-21 21:35:00,0.292
13,968472408,放弃年薪40万去北大读博 | 选择和努力谁更重要？ | 从农村到北大 我的价值观变化 | 穷人家小孩如何跨越阶级障碍,264026,糖果果的未来要发光,20826656,1045704,17732,10976,7546,2810,2049,860,1.0446,0.1483,0.0286,0.2525,0.0106,0.0887,0.4666,0.2277,0.0001,0.9289,53694.17,2020-06-08 17:08:15,0.2862
14,114467169896168,穷苦人如何实现阶级跨越？四点建议（保证干货，无鸡汤）,382979,行长王德发,1053088039,651345,19358,6338,16504,3740,1664,1396,1.18,0.1182,0.0431,0.588,0.0098,0.1004,0.3704,0.3439,0.0002,0.8524,10631.98,2025-05-07 23:19:10,0.2818
15,409187894,抱住大腿,162123,狄会长,2048557551,40472,26060,729,7841,298,9,118,0.3289,0.2144,0.0484,4.0058,0.0018,0.0271,0.6774,0.3861,0.0017,0.1604,23181.52,2023-12-02 01:47:02,0.2723
16,115954033892800,『鯉魚製造』◎ “金鳞岂是池中物。”| 阶级跨越 | 一鸣惊人 | 钱权名兼得 | 平步青云的前途 | 蒸蒸日上的事业 | 如日中天的人生,132369,鲤鱼_Koi,73376988,107174,5474,5596,6922,81,46,505,2.2868,0.1401,0.0523,1.2351,0.0006,0.1957,0.4403,0.4176,0.0005,0.0534,4329.99,2026-01-25 13:19:21,0.2675
17,112597248509469,快叫上你暑假一起打工的朋友，兄弟们，跨越阶级的时候到了,90620,账号已注销,3546688562138052,45,213,16,1031,5,0,0,4.9155,0.0139,0.0114,2013.7778,0.0001,0.422,0.0376,0.09,0.8839,0.0048,18559.74,2024-06-11 17:22:44,0.264
18,1305202942,【sub紗布】“一筆足以改變你整個人生的財富”*超强财富显化者*superdamnrich*跨越阶级*重新书写整个生命轨迹,66619,Moo夹心1133,394265860,3784,2877,2708,3344,65,101,235,2.1036,0.1391,0.0502,17.6054,0.001,0.1799,0.4371,0.4008,0.0077,0.0852,18984.93,2024-05-25 00:11:40,0.2617
19,116011160311156,『鯉魚製造』◎ “金鳞岂是池中物。”| 阶级跨越 | 一鸣惊人 | 钱权名兼得 | 平步青云的前途 | 蒸蒸日上的事业 | 如日中天的人生,80753,鲤鱼_Koi,73376988,107174,2987,3321,4014,41,37,206,2.4556,0.1308,0.0497,0.7535,0.0005,0.2102,0.4108,0.3969,0.0003,0.0443,4089.68,2026-02-04 15:25:57,0.2601
20,114822813388697,我用3000块的成本和4个月的时间完成了一次“阶级跨越” | Vlog48,595583,瑞瑞狸,13334303,118174,19164,7717,26881,3556,810,1644,1.8054,0.0944,0.0451,5.0399,0.006,0.1542,0.2945,0.3603,0.0022,0.5211,9124.65,2025-07-09 18:39:40,0.252
21,115724420908971,有野心无出路？直接照抄这条跨越阶级的贵人路！,406069,行长王德发,1053088039,651345,19399,6603,16729,2603,1265,1388,1.2027,0.1118,0.0412,0.6234,0.0064,0.1024,0.3499,0.3288,0.0002,0.5595,5303.19,2025-12-16 00:06:55,0.245
22,115299470806211,【财富sub】跨越阶级·出国·千金（反馈超多）,390124,余温WEN_OvO,698543330,9464,10413,8877,17203,209,297,1431,2.5046,0.098,0.0441,41.2219,0.0005,0.2144,0.3059,0.352,0.0181,0.0468,7104.38,2025-10-01 22:55:11,0.2284
23,116271358281298,普通人想跨越阶级，只此一条最快最靠谱的捷径！,194007,行长王德发,1053088039,651345,8120,3649,7273,907,1163,864,1.3451,0.1086,0.0375,0.2979,0.0047,0.1146,0.3398,0.2991,0.0001,0.408,2984.99,2026-03-22 14:18:40,0.2257
24,114520454333858,【大冰语录】大冰谈如何通过自己的努力去实现阶级的跨越,94657,大冰心灵驿站,3546696751516123,34212,3516,441,3876,604,77,273,1.2278,0.0864,0.0409,2.7668,0.0064,0.1045,0.2691,0.3268,0.0012,0.5569,10408.1,2025-05-17 09:00:50,0.225
25,983074527,这年头，不拼爹的普通年轻人还能逆袭吗？揭秘6条穷人跨越阶级的可行之路【毯叔盘钱】,151839,毯叔盘钱,628122353,538340,5514,2128,5027,1002,728,429,1.2976,0.0911,0.0331,0.2821,0.0066,0.1105,0.2838,0.264,0.0001,0.576,35595.05,2022-07-02 20:15:00,0.22
26,423660896,【学不下去的请点开】教育是穷人跨越阶级的渠道,89306,智慧少女派,11087556,201128,4335,1350,3229,472,257,416,1.0563,0.1074,0.0362,0.444,0.0053,0.0897,0.3358,0.2884,0.0002,0.4613,39053.9,2022-02-08 19:13:02,0.2192
27,1753847780,一招教你完成阶级跨越！,200850,海以南的一条鱼,603481844,112885,32423,1159,1778,1364,320,386,0.0906,0.1796,0.0089,1.7792,0.0068,0.0066,0.5663,0.0698,0.0007,0.5927,19567.56,2024-04-30 15:45:00,0.2172
28,281392060,高干文可不是只有跨越阶级才好看｜魏大勋宋轶｜强强联合孟父孟母才是永远的神,123119,幕雨动画,477071939,74,10984,522,2335,214,56,131,0.2601,0.1139,0.019,1663.7703,0.0017,0.0212,0.3569,0.1507,0.7303,0.1517,23283.68,2023-11-27 19:37:51,0.215
29,114557951543964,野心勃勃但迷茫的破局方法：识贵人，做心腹｜这才是普通人跨越阶层的核心秘宝！,175203,行长王德发,1053088039,651345,7084,3664,4944,1072,774,612,1.2151,0.0975,0.0282,0.269,0.0061,0.1034,0.3043,0.2248,0.0001,0.534,10247.33,2025-05-23 23:58:59,0.2107
30,115014375579464,一个跨越阶级但没有背叛阶级的人,921542,陈三浮,401143379,1617,153429,2740,10509,1608,162,4756,0.0864,0.1862,0.0114,569.9085,0.0017,0.0062,0.5875,0.0902,0.2501,0.1523,8312.81,2025-08-12 14:30:01,0.2073
31,954225579,恭喜我哥实现了阶级跨越！,320640,阿呆笑哈哈,1195238362,176,15773,87,954,2822,323,1201,0.066,0.0572,0.003,1821.8182,0.0088,0.0045,0.1757,0.0227,0.7996,0.7682,27643.87,2023-05-30 03:26:13,0.2068
32,116100482209703,你只剩下五年时间变富！跨越阶级的最后机会！,65890,LEOTUBE,317546591,92613,1242,366,2001,361,140,337,1.9058,0.062,0.0304,0.7115,0.0055,0.1629,0.1911,0.2421,0.0003,0.4782,3711.07,2026-02-20 10:02:27,0.2011
33,817981736,信息差，自卑心理，精神物质双重贫穷，致使他们难以实现阶级的跨越,197779,泛光子,399236559,2809,5997,1943,4528,1638,499,1552,1.079,0.0734,0.0229,70.409,0.0083,0.0917,0.2275,0.1822,0.0309,0.7229,32146.06,2022-11-23 13:14:06,0.2008
34,114637123224973,《普通人如何跳出底层？3个扎心的社会真相》,476210,行长王德发,1053088039,651345,14837,6509,11884,3551,1398,1119,1.2397,0.0751,0.025,0.7311,0.0075,0.1055,0.2328,0.1987,0.0003,0.6508,9911.76,2025-06-06 23:33:02,0.2
35,115875801733200,普通人跨越阶级有多难（2）。。,105692,王二狗也,366098592,530517,15568,3555,1145,182,235,623,0.3019,0.1999,0.0108,0.1992,0.0017,0.0248,0.6312,0.0856,0.0,0.1503,4663.34,2026-01-11 17:46:33,0.1986
