排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116775412834224,绝密巴克什跑刀：房卡大降价，喜欢高尚叔叔的雷霆爆率么,994731,高尚三角洲行动,1884767697,241823,4.11,1173.56,847.6,0.0417,125,0.7148,1.0,0.2787,0.1667,0.0072,,1,2026-06-19 18:41:00,0.5459
2,116815091013298,史上少有离谱的夏促背刺？上次史低游戏180，这次直接44！顶级3A史上最疯狂的降价！【夏促3 高性价比篇】,1121517,蒸汽居士,253992474,877499,1.28,1641.76,683.1,0.0479,3629,1.0,0.4604,0.3202,0.25,0.0365,,1,2026-06-26 15:11:56,0.5203
3,1756053587,混动省油？省个屁！！,2007870,大鹏快开车,1867759108,731005,2.75,111.92,17940.2,0.1496,19196,0.0682,0.9895,1.0,0.0,0.2411,,1,2024-07-07 14:08:33,0.4919
4,116751874461133,串讲干货：6月油车价格大降价！看看哪些车型能入手,1485883,超哥超车,3546724748495813,1572676,0.94,1562.0,951.3,0.0624,6379,0.9514,0.3404,0.4171,0.1667,0.1206,,1,2026-06-15 11:01:32,0.491
5,115177617889289,短兵相接！隔壁摊卖冰淇淋，我趁势降价抢占市场,5026577,蜻园,538922970,266016,18.9,659.32,7623.9,0.0036,596,0.4016,1.0,0.0241,0.0,0.9383,,1,2025-09-10 10:26:27,0.4691
6,359993380,三款便宜高端却爆冷的神机，降价之后更适合捡漏了！ #学生党 #数码科技 #二手手机,2072426,荐机行事,627040687,106978,19.37,80.65,25695.7,0.112,301,0.0491,1.0,0.7487,0.0,0.2561,,1,2023-08-19 10:35:00,0.4401
7,114109311950717,领导视察见牛肉降价想买两斤，谁知肉贩子死活不卖,5293897,懂一点人情世故,3537123319744983,2239328,2.36,435.64,12152.0,0.0254,6282,0.2653,0.8517,0.1698,0.0,1.0,,1,2025-03-05 18:23:14,0.4265
8,115517289402899,房子降价我加仓，平摊下来每套房就少亏了,1310161,烟囱爱跳舞,2041787,380842,3.44,211.86,6184.2,0.0934,1968,0.129,1.0,0.6243,0.0,0.08,,1,2025-11-09 10:09:25,0.4216
9,1856349346,从30到4块，新茶饮集体降价，为何都向蜜雪冰城看齐？,5029254,冷叔笔记,1685746281,488288,10.3,290.5,17312.7,0.0042,951,0.1769,1.0,0.0281,0.0,0.9389,,1,2024-08-02 17:40:26,0.4026
10,355184350,工地10元盒饭降价了，7元一荤一素成为了挂壁盒饭！,1436198,晚霖妈妈,501692936,491873,2.92,50.23,28592.0,0.0871,1456,0.0306,1.0,0.5822,0.0,0.1091,,1,2023-04-20 18:21:43,0.3865
