排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,点赞数,投币数,收藏数,分享数,弹幕数,评论数,标签,深度互动比(币+藏/赞),互动密度,收藏率,粉丝转化率,分享率,深度互动得分,互动密度得分,收藏率得分,转化率得分,分享率得分,视频年龄(小时),发布时间,价值综合评分
1,1106485976,能把毕业典礼开成演唱会的青岛大学，这六首神级翻唱，你都听过吗？,1664920,嗨唱音乐系,3461573809015681,965,3168,622,49358,3,0,2,"学校,大学,翻唱",15.7765,0.0319,0.0296,1725.3057,0.0,1.0,0.0785,0.3656,0.3338,0.0,17635.56,2024-07-20 07:42:27,0.4761
2,1606528175,青岛代孕事件才是该上热搜的，不寒而栗,4147283,账号已注销,3546556852603448,176243,1115850,292427,76975,41131,21047,25258,"我的生活已经next level,生活万花筒14.0-给生活的planB",0.331,0.3693,0.0186,23.5316,0.0099,0.0194,1.0,0.2277,0.0045,0.3468,16640.62,2024-08-30 18:39:12,0.3375
3,113854482746950,你有这样的视觉盛宴进入庄园！【第五人格】,1407125,枝鸣Zz,28844420,73580,61896,8888,113490,983,1893,295,"走秀,cosplay,第五人格新星团,第五人格庄园绘新,青岛第五only,第五人格2025蛇年版",1.9772,0.1325,0.0807,19.1237,0.0007,0.1239,0.3533,1.0,0.0037,0.0244,13233.02,2025-01-19 18:15:39,0.3345
4,8011828,【陈沛佟】冰上的尤里——《Eros》还原,2184082,Patton_15,67510481,83713,127508,148806,108825,24898,10924,6174,"陈沛佟,国家健将级运动员,冰上的尤里,eros,高度还原花滑,花样滑冰,滑见,青岛冰纷万象滑冰场,yuri,随时有人",2.0205,0.1842,0.0498,26.0901,0.0114,0.1267,0.4944,0.6166,0.005,0.3987,83477.18,2017-01-14 22:05:07,0.3316
5,272950393,送你一份超详细的青岛三日旅游攻略 | 内含图文版,1355571,迈得丘MadQ,688535597,255466,40186,27263,50562,38757,2633,2782,"夏天,旅游,小麦岛,山东,出行,旅游攻略,青岛,大海,信号山,跟着UP主出行看世界,夏日旅行奇遇记",1.9366,0.0911,0.0373,5.3063,0.0286,0.1214,0.24,0.4608,0.001,1.0,26848.21,2023-07-02 11:00:00,0.2947
6,115105794623018,【TF家族练习生】《肆意少年》见面会——青岛场DAY1,2125160,TF家族,3670216,9176767,44201,4357,31857,1203,581213,3764,"TF家族练习生,肆意少年",0.8193,0.3131,0.015,0.2316,0.0006,0.0504,0.8465,0.1833,0.0,0.0197,7880.26,2025-08-30 19:00:00,0.2679
7,869938889,青岛大学毕业典礼名场面，还记得翻唱的这些歌曲吗,2896650,精选音乐库F,3494364101741331,817,18724,2592,76442,560,376,310,"毕业季,青岛大学",4.221,0.034,0.0264,3545.4712,0.0002,0.2664,0.0841,0.3251,0.686,0.0067,27145.9,2023-06-20 01:20:48,0.2486
8,116423661723094,【利群与青岛】全12集 超清中字（未删减版）周更,1515869,后宫补番,4262884,1093435,28919,7942,54887,16306,37453,4424,"美食,搞笑,治愈,百合,酒,日常,上伊那牡丹，酒醉身姿似百合花般,四月新番,上伊那牡丹，醉姿如百合",2.1726,0.0882,0.0362,1.3863,0.0108,0.1363,0.2321,0.4472,0.0002,0.3762,2343.31,2026-04-18 11:56:50,0.2328
9,1005834179,青岛大学毕业典礼2019-2024历届快闪高清完整版（下）！,1520488,师兄phd,1711119638,18589,5174,827,35373,37,2,11,"毕业典礼,青岛大学",6.9965,0.0272,0.0233,81.795,0.0,0.4426,0.0657,0.2862,0.0158,0.0008,18163.26,2024-06-28 08:01:05,0.2302
10,860765273,你以为的山东很土 经济落后,2327545,球怪-,40550291,10410,12645,1661,67299,217,832,587,"GDP,台湾,广东,正能量,吐槽,青岛,记录,经济,济南,山东",5.4535,0.0357,0.0289,223.5874,0.0001,0.3446,0.0887,0.3565,0.0432,0.0032,31876.31,2022-12-04 22:53:48,0.2187
