排名,av_id,标题,播放量,UP主,UP主UID,粉丝数,粉丝转化率,播放速率(次/小时),视频年龄(小时),互动密度,评论数,速率得分,转化得分,互动得分,新鲜度得分,播放量得分,历史增长%,数据点数量,发布时间,综合评分
1,116339926698828,当你问二次元寝室都玩什么游戏..,9600768,一颗鲜葱__,1437599419,785173,12.23,3561.01,2696.1,0.0803,21036,1.0,1.0,0.4074,0.0,0.3161,,1,2026-04-03 16:55:48,0.6631
2,503615265,原神代肝代练价格表，6.5空之神殿价格表，全程直播，接官b国际服，探索，托管，挪德卡莱，须弥，枫丹，稻妻，纳塔，材料，活动，支线，主线，深渊，等都能接，需要详谈,19356158,三角洲任务代肝,698833599,52404,369.36,431.74,44832.8,0.1971,52998,0.1212,1.0,1.0,0.0,1.0,,1,2021-06-13 00:15:16,0.5864
3,116329893923479,“我那个时代，高手如云！”,7420297,四宫凛,187046814,210733,35.21,2709.54,2738.6,0.0497,7768,0.7609,1.0,0.2522,0.0,0.1632,,1,2026-04-01 22:25:47,0.545
4,115778577766360,【鸣潮】3.0罗伊冰原地图全收集一条龙，宝箱/隐藏宝箱/终声残卷/日灵/藏宝地/成就/隐藏成就/智造立方（已完结）,11722869,在下油甘,403072772,889203,13.18,2309.82,5075.2,0.0357,12915,0.6486,1.0,0.1811,0.0,0.4649,,1,2025-12-25 13:46:54,0.5273
5,1004897843,【鸣潮】瑝珑十大区域公测100%一条龙全收集，奇藏，宝箱，风景点，声匣，观景点，飞猎手！,16114011,在下油甘,403072772,889203,18.12,847.27,19018.7,0.0839,19408,0.2379,1.0,0.4257,0.0,0.7727,,1,2024-05-23 14:17:37,0.4838
6,90782208,这TM才叫无缝衔接 ！！！,8524236,星铁代肝原神代肝糖糖,36117352,452749,18.83,151.49,56269.6,0.1931,6977,0.0425,1.0,0.9797,0.0,0.2406,,1,2020-02-22 11:27:39,0.4828
7,113475250553235,“青梅竹马VS偷腥猫”,6869999,汐汐不想睡大街,30898527,801413,8.57,463.5,14822.0,0.1668,13089,0.1302,1.0,0.8463,0.0,0.1247,,1,2024-11-14 11:00:00,0.4708
8,115892360839448,这是我带过最差一届的学生！,7059308,非自然苏打,1920908011,808039,8.74,1537.41,4591.7,0.0572,733,0.4317,1.0,0.2902,0.0,0.1379,,1,2026-01-14 17:18:56,0.4514
9,116491609513532,【鸣潮】3.3黯原地图全收集一条龙，宝箱/奇藏/终声残卷/日灵/隐藏宝箱/成就/隐藏成就/藏宝地（已完结）,5091909,在下油甘,403072772,889203,5.73,2480.11,2053.1,0.0313,5804,0.6965,0.6882,0.1588,0.1667,0.0,,1,2026-04-30 11:54:29,0.4378
10,113553398827699,为了拍cos，我去学了“杂技”？,13475723,蓝染碎月,3546624131336435,281584,47.86,929.17,14503.0,0.0416,1632,0.2609,1.0,0.2111,0.0,0.5878,,1,2024-11-27 18:00:00,0.4293
11,116530935239061,《鸣潮》×《赛博朋克：边缘行者》联动预告｜早上好，索拉里斯！,6025788,鸣潮,1955897084,5323717,1.13,3195.0,1886.0,0.0819,50951,0.8972,0.136,0.4155,0.1667,0.0655,,1,2026-05-07 11:00:00,0.4178
12,113756436693513,“珂莱塔二小姐想让我告白~”,5855892,汐汐不想睡大街,30898527,801413,7.31,429.13,13646.0,0.1469,6337,0.1205,0.8782,0.7453,0.0,0.0536,,1,2025-01-02 11:00:28,0.4101
13,1054968533,“可惜你不玩游戏，不了解这个视频的含金量！”,5862895,烽火湛蓝,7594110,462196,12.68,308.22,19021.5,0.1229,2957,0.0866,1.0,0.6235,0.0,0.0541,,1,2024-05-23 11:30:00,0.4061
14,115816813036756,揭开角色的遮羞布！火爆全网的菲比？同人背后居然还隐藏了这样的秘密？！,5565285,天黑了该吃菌子辣,503521442,783402,7.1,1133.8,4908.5,0.0907,4297,0.3184,0.8538,0.4602,0.0,0.0332,,1,2026-01-01 12:30:00,0.4043
15,114668345498844,【鸣潮】2.4版本七丘地图全收集一条龙，宝箱+成就+隐藏任务宝箱+探索度相关藏宝地/染秽之梦/英雄的瞬斩（已完结）,8220897,在下油甘,403072772,889203,9.25,840.49,9781.1,0.0477,6466,0.236,1.0,0.242,0.0,0.2194,,1,2025-06-12 11:53:54,0.3911
16,114119629871841,💕你还要捏到什么时候💕,5246158,再探再报中的安可酱,1230306578,182463,28.75,433.32,12106.8,0.0856,4567,0.1217,1.0,0.4343,0.0,0.0108,,1,2025-03-07 14:10:27,0.3744
17,115011288569167,往那一站被人唠了一辈子,5340567,白白泉泉泉,551358482,5926,901.21,641.31,8327.6,0.057,2647,0.1801,1.0,0.2892,0.0,0.0174,,1,2025-08-12 01:25:03,0.3636
18,113218827588533,【鸣潮】1.3版本黑海岸群岛/泰缇斯之底/全收集一条龙，宝箱奇藏箱/解谜/任务/卡带/红名怪/约兰的战术测试/黑海岸（已完结）,7316662,在下油甘,403072772,889203,8.23,459.45,15925.0,0.0382,2405,0.129,0.9889,0.1938,0.0,0.156,,1,2024-09-29 12:02:29,0.3403
19,116015723713789,【鸣潮】3.1罗伊冰原上方地图全收集+开图一条龙，宝箱/隐藏宝箱/终声残卷/日灵/藏宝地/成就/隐藏成就/智造立方/日灵流引（已完结）,5403605,在下油甘,403072772,889203,6.08,1327.61,4070.2,0.0421,5109,0.3728,0.7303,0.2136,0.0,0.0219,,1,2026-02-05 10:49:45,0.3393
20,115859242681458,【IGN】《鸣潮》共鸣者「爱弥斯」演示,7089063,IGN中国,652239032,1993647,3.56,1502.43,4718.4,0.0809,67993,0.4219,0.4274,0.4105,0.0,0.14,,1,2026-01-09 10:37:21,0.3295
21,116084443190543,回家过年的小爱同学也是开上工地机甲了……,5235227,粽子淞,31968078,1391162,3.76,1385.36,3779.0,0.0882,2695,0.389,0.4523,0.4475,0.0,0.01,,1,2026-02-17 14:02:45,0.3203
22,113775797669632,“当她裙里拔枪的那一刻，世界都惊呆了！”,5627846,汐汐不想睡大街,30898527,801413,7.02,414.9,13564.3,0.0547,2742,0.1165,0.844,0.2775,0.0,0.0376,,1,2025-01-05 20:41:55,0.3052
23,114232221765677,【鸣潮】2.2黎那汐塔-贝奥海域/阿维纽林100%全收集一条龙，宝箱/隐藏宝箱/成就/隐藏成就/闪翼竞速/飞翼挑战/行船竞速（已完结）,5951764,在下油甘,403072772,889203,6.69,511.77,11629.7,0.0496,3495,0.1437,0.8044,0.2516,0.0,0.0603,,1,2025-03-27 11:18:30,0.3006
24,114114747698953,你有我没有3.0,6710954,CCCmlng小陈不憨,42019920,1232653,5.44,553.36,12127.6,0.067,1009,0.1554,0.6543,0.3399,0.0,0.1135,,1,2025-03-06 17:22:44,0.2895
25,113994337621885,【鸣潮】2.1黎那汐塔-下层金库/黎乔利群岛100%全收集一条龙，宝箱/隐藏宝箱/成就/隐藏成就/螃蟹祭坛/渊海遗藏（已完结）,5631391,在下油甘,403072772,889203,6.33,445.6,12637.7,0.0424,3196,0.1251,0.7611,0.2151,0.0,0.0378,,1,2025-02-13 11:16:35,0.2746
26,115911067442748,《鸣潮》动画短片 | 拯救,6524754,鸣潮,1955897084,5323717,1.23,1449.3,4502.0,0.0834,39604,0.407,0.1473,0.4231,0.0,0.1005,,1,2026-01-18 11:00:00,0.2536
27,114580449664775,《鸣潮》动画短片 | 天明,7306794,鸣潮,1955897084,5323717,1.37,720.45,10142.0,0.116,39470,0.2023,0.165,0.5885,0.0,0.1553,,1,2025-05-28 11:00:00,0.2352
28,115904188782750,【梗百科】我也要死吗是啥梗？,5409599,梗百科,1544008396,2343802,2.31,1190.85,4542.6,0.0451,11143,0.3344,0.2774,0.2288,0.0,0.0223,,1,2026-01-16 18:23:15,0.2177
